A,B,C,D,AB,AC,AD,BC,BD,CD,ABC,ABD,ACD,BCD,ABCD
45,45,39,57,33,12,2,6,3,1,10,2,0,0,0
45,45,39,57,33,15,3,6,4,1,11,3,0,0,0
45,45,39,56,32,17,2,7,3,1,15,2,0,0,0
45,46,38,55,31,17,2,7,3,2,15,2,0,0,0
44,45,38,55,30,17,1,7,3,1,15,1,0,0,0
44,45,38,55,31,17,1,8,4,1,15,1,0,0,0
46,45,38,55,31,13,1,7,3,1,12,0,0,0,0
46,45,38,55,31,15,0,7,2,1,14,0,0,0,0
46,45,38,55,30,17,0,7,1,1,15,0,0,0,0
46,45,38,55,30,17,0,8,2,0,16,0,0,0,0
46,45,38,55,30,17,1,7,2,0,15,0,0,0,0
46,45,38,57,30,16,1,7,2,0,16,0,0,0,0
46,45,38,56,29,15,1,7,2,2,15,0,0,0,0
46,45,39,56,30,15,1,7,2,2,11,0,0,0,0
46,45,39,57,29,14,2,7,1,2,10,0,0,0,0
46,45,39,57,29,14,3,6,2,2,10,1,0,0,0
47,45,39,57,31,14,3,6,3,2,10,1,2,0,0
47,45,39,60,31,12,3,3,3,2,8,1,2,0,0
47,46,41,60,33,11,3,3,3,2,8,2,2,0,0
47,47,40,60,33,11,4,4,5,2,10,3,2,1,2
47,47,40,60,32,10,4,4,6,1,9,2,2,1,2
47,47,41,60,34,10,2,4,4,1,9,0,1,0,0
48,47,41,60,34,10,2,5,4,1,8,0,1,0,0
48,47,41,60,35,9,2,5,4,0,7,0,0,0,0
49,47,41,59,34,10,1,5,4,0,7,0,0,0,0
49,48,41,59,33,11,1,7,3,0,9,0,0,0,0
49,49,41,59,34,14,1,7,2,0,11,0,0,0,0
49,49,41,59,34,15,1,6,2,0,10,0,0,0,0
50,49,41,58,34,15,1,7,2,0,11,0,0,0,0
50,49,41,58,34,15,1,7,2,0,11,0,0,0,0
50,49,41,57,34,16,1,7,1,0,11,0,0,0,0
50,49,41,57,34,15,1,7,2,0,9,0,0,0,0
50,49,41,57,34,15,1,7,2,0,9,0,0,0,0
50,48,41,57,34,17,1,7,2,0,11,0,0,0,0
51,47,41,57,33,16,2,7,2,0,12,0,0,0,0
51,47,39,56,33,17,2,7,2,0,13,1,0,0,0
51,48,40,56,33,19,3,7,2,0,12,1,0,0,0
51,47,40,56,35,18,3,7,1,1,12,1,0,0,0
50,47,40,56,36,18,2,6,1,1,12,1,0,0,0
50,47,41,56,36,17,2,6,2,1,12,1,0,0,0
50,47,41,56,38,19,2,7,2,1,19,1,0,0,0
50,47,41,56,40,19,2,6,2,1,19,1,0,0,0
50,47,41,56,38,17,1,6,3,2,17,1,0,0,0
50,47,41,56,37,17,4,6,4,3,16,4,3,1,3
50,47,41,56,36,16,4,7,4,4,16,4,6,2,6
51,48,40,56,35,16,4,7,3,4,15,3,6,2,6
51,48,41,56,35,15,4,7,3,4,14,3,6,2,6
51,48,41,56,33,15,5,7,2,4,14,1,4,0,0
51,46,41,56,33,15,4,7,1,2,14,0,0,0,0
51,46,41,56,34,15,3,8,0,1,14,0,0,0,0
51,46,41,56,34,16,3,8,0,1,15,0,0,0,0
51,46,42,56,35,16,2,8,0,0,15,0,0,0,0
51,46,42,56,36,17,2,9,1,0,16,1,0,0,0
51,46,42,56,36,17,2,10,1,0,15,1,0,0,0
51,46,41,56,37,17,2,11,1,1,16,1,0,0,0
51,46,41,56,37,19,2,11,1,1,18,1,0,0,0
51,46,42,57,37,18,2,10,2,3,17,2,0,0,0
51,46,42,58,37,18,2,10,2,3,17,2,0,0,0
52,46,42,57,37,16,2,11,2,3,17,2,0,0,0
52,46,42,57,37,17,2,11,2,3,18,2,0,0,0
54,47,42,57,38,20,2,12,2,3,19,2,0,0,0
54,47,42,57,37,21,2,11,2,3,19,2,0,0,0
54,47,42,58,37,20,2,9,2,2,18,2,0,0,0
52,46,42,58,34,20,2,10,1,1,18,1,0,0,0
51,45,42,57,32,20,2,10,0,1,18,0,0,0,0
50,45,42,56,32,17,2,10,0,1,15,0,0,0,0
50,45,42,56,31,16,3,9,1,1,14,0,0,0,0
50,46,42,56,33,16,2,8,2,2,14,2,0,0,0
49,45,42,56,31,16,2,7,2,2,11,2,0,0,0
48,44,42,57,31,14,2,6,2,0,9,2,0,0,0
47,44,41,56,31,14,1,7,2,0,12,1,0,0,0
47,44,41,56,31,13,0,5,1,0,8,0,0,0,0
46,44,40,55,30,9,0,5,2,0,8,0,0,0,0
46,43,40,55,29,10,0,5,2,0,9,0,0,0,0
45,43,40,55,29,10,0,5,2,0,9,0,0,0,0
45,43,40,55,29,10,1,5,2,0,9,1,0,0,0
45,43,40,55,31,9,1,5,2,0,9,1,0,0,0
44,43,39,56,35,10,1,5,2,0,9,1,0,0,0
44,43,41,56,36,10,2,7,2,1,15,2,0,0,0
44,43,41,58,35,10,3,9,1,2,15,2,0,0,0
44,45,40,59,34,11,3,9,0,2,11,0,0,0,0
44,45,40,60,34,12,3,9,0,3,11,0,0,0,0
45,45,40,60,35,12,1,8,0,4,10,0,0,0,0
45,44,42,60,33,12,1,6,1,4,4,0,0,0,0
45,44,43,60,33,12,1,5,1,3,2,0,0,0,0
45,44,44,60,32,11,1,5,1,3,2,0,0,0,0
45,44,44,60,30,12,1,5,2,3,3,0,0,0,0
45,45,44,60,32,10,1,5,3,2,3,0,0,0,0
45,45,44,59,32,9,1,6,3,1,3,0,0,0,0
45,45,44,59,32,8,1,6,2,2,2,0,0,0,0
45,45,44,60,32,7,1,6,2,2,2,0,0,0,0
45,44,44,60,33,5,0,4,2,1,0,0,0,0,0
45,44,44,60,34,7,0,3,2,1,1,0,0,0,0
45,44,44,60,34,6,0,3,2,3,1,0,0,0,0
45,43,44,60,34,6,1,3,1,3,1,0,0,0,0
45,44,44,60,32,5,1,2,0,5,1,0,0,0,0
46,44,44,60,33,5,2,2,0,7,1,0,0,0,0
47,44,43,61,31,6,2,2,0,7,1,0,0,0,0
47,44,43,61,33,6,2,3,0,6,2,0,0,0,0
47,44,42,62,33,7,2,3,0,8,2,0,1,0,0
47,44,42,62,34,6,2,4,0,8,3,0,1,0,0
47,43,42,62,32,6,2,5,0,7,4,0,1,0,0
47,43,42,62,33,6,2,5,0,7,4,0,1,0,0
47,43,42,62,31,5,2,3,0,7,4,0,1,0,0
47,42,42,62,30,4,1,3,1,6,4,0,0,0,0
47,42,42,62,29,4,0,3,1,4,4,0,0,0,0
47,42,42,61,28,4,0,3,1,1,4,0,0,0,0
47,42,42,61,29,5,0,3,1,1,4,0,0,0,0
45,42,42,62,29,6,0,3,0,2,4,0,0,0,0
45,42,43,61,30,6,0,2,0,3,2,0,0,0,0
45,42,43,61,29,7,0,3,0,3,3,0,0,0,0
46,42,43,61,28,10,0,3,0,4,3,0,0,0,0
45,42,42,61,28,10,0,4,0,5,3,0,0,0,0
45,42,41,61,27,10,0,4,1,4,3,0,0,0,0
45,42,40,62,28,11,0,4,1,5,3,0,0,0,0
45,42,39,62,28,11,0,4,1,3,3,0,0,0,0
45,42,39,62,28,11,0,5,1,3,3,0,0,0,0
45,42,40,63,29,9,0,4,2,3,3,0,0,1,0
46,42,40,62,30,8,0,4,2,3,3,0,0,1,0
46,42,40,62,30,7,0,4,2,3,3,0,0,1,0
45,42,41,61,31,7,1,4,2,3,3,1,0,1,0
45,42,41,62,32,7,1,4,3,1,3,1,0,0,0
46,43,41,62,33,5,2,4,4,1,2,1,0,0,0
46,43,41,62,33,6,3,6,3,1,4,2,0,0,0
46,43,41,62,32,6,3,8,3,2,5,2,0,0,0
46,43,41,61,31,6,3,8,2,2,5,2,0,0,0
46,43,41,62,31,6,2,7,4,2,5,1,0,0,0
46,43,41,62,30,4,2,8,4,2,4,1,0,0,0
45,42,41,62,28,4,4,8,3,2,4,1,0,0,0
45,42,41,62,29,3,3,7,4,2,3,2,0,0,0
45,42,41,62,29,5,4,7,4,2,5,3,0,0,0
44,42,41,63,29,6,4,7,4,2,6,3,0,0,0
42,42,41,62,28,4,3,6,5,3,4,3,0,0,0
42,42,41,62,29,7,3,5,3,3,5,3,0,0,0
42,42,41,63,30,8,4,7,2,4,8,2,1,1,1
42,42,41,63,30,10,4,7,3,4,9,3,2,1,2
42,42,40,63,30,9,4,6,3,4,8,3,2,1,2
41,42,40,63,30,8,4,6,4,4,7,1,1,1,1
41,42,39,63,31,8,4,5,5,4,7,2,1,0,0
41,42,39,63,31,6,3,5,5,5,5,2,0,0,0
41,42,40,63,31,5,3,4,5,4,4,2,0,0,0
41,42,40,62,31,5,3,3,4,2,4,2,0,0,0
41,42,40,62,31,5,2,3,3,2,4,1,0,0,0
41,42,40,62,30,5,2,3,2,2,4,1,0,0,0
42,42,40,62,31,4,2,3,2,2,3,1,0,0,0
42,42,39,63,31,4,2,2,3,3,2,1,0,0,0
42,42,39,63,31,4,2,2,1,3,2,1,0,0,0
42,42,40,63,30,3,1,2,1,3,2,0,0,0,0
42,42,40,64,30,4,1,3,0,3,2,0,0,0,0
42,42,40,65,31,4,1,3,0,3,2,0,0,0,0
42,42,41,65,30,4,1,4,1,4,3,0,0,0,0
42,43,41,65,29,5,1,4,1,3,3,0,0,0,0
42,43,42,64,30,5,1,7,1,3,4,0,0,0,0
41,43,42,66,30,6,1,8,1,3,5,0,0,0,0
41,44,42,65,31,7,1,8,1,2,6,0,0,0,0
41,44,42,66,32,8,1,8,0,3,7,0,0,0,0
42,44,43,66,33,9,2,8,1,3,7,0,0,0,0
42,44,43,65,33,7,2,7,1,2,6,0,0,0,0
42,44,43,64,33,7,1,6,2,2,6,0,0,0,0
42,43,43,64,32,7,2,5,3,2,4,0,0,0,0
42,43,43,64,32,7,2,5,5,2,4,1,0,0,0
42,43,43,64,31,8,2,3,5,2,3,1,0,0,0
43,43,43,64,31,7,3,5,5,2,4,2,0,0,0
43,42,43,64,31,9,4,5,5,1,4,3,0,0,0
43,43,43,64,30,10,5,6,5,1,8,2,0,0,0
42,43,43,65,31,10,6,7,4,2,9,3,0,0,0
42,43,44,65,30,9,6,7,1,1,8,0,0,0,0
42,43,44,65,30,8,6,7,1,1,8,0,0,0,0
42,43,44,65,30,9,5,7,1,1,8,0,0,0,0
44,43,44,65,32,9,5,7,1,1,8,0,0,0,0
44,43,45,65,32,11,2,8,1,1,10,0,0,0,0
44,43,45,65,32,10,2,7,1,1,9,0,0,0,0
46,44,44,65,33,6,2,6,2,2,5,0,0,0,0
46,45,44,65,32,6,2,6,1,2,5,0,0,0,0
47,45,45,66,34,8,2,6,1,3,7,0,0,0,0
47,45,45,67,34,7,1,5,1,3,5,0,0,0,0
47,45,44,67,34,7,2,6,1,3,5,1,0,1,0
47,45,44,67,34,8,1,6,1,3,5,1,0,1,0
46,45,44,67,35,9,1,9,1,4,7,1,1,1,1
46,47,44,67,35,10,1,9,1,4,8,1,1,1,1
48,47,45,67,38,10,1,9,2,3,8,1,1,1,1
48,47,45,67,40,10,3,9,2,2,6,1,0,0,0
48,47,45,68,39,10,3,9,1,2,7,0,0,0,0
48,47,45,68,37,11,3,10,1,0,8,0,0,0,0
47,47,45,69,35,10,3,9,2,0,7,0,0,0,0
47,47,45,69,35,13,3,10,4,0,9,2,0,0,0
47,47,45,69,32,13,5,11,4,0,9,3,0,0,0
47,47,45,69,32,11,4,10,4,1,8,3,0,0,0
47,46,46,69,31,13,4,10,3,1,8,3,0,0,0
47,46,46,69,28,16,4,9,2,1,5,3,0,0,0
46,45,46,69,28,15,3,8,2,1,5,2,0,0,0
46,45,46,69,28,15,3,9,2,1,6,2,0,0,0
46,45,45,69,28,15,2,10,2,2,6,1,0,0,0
46,45,46,69,28,14,2,9,2,2,5,1,0,0,0
47,45,46,69,30,14,2,9,2,1,6,1,0,0,0
48,45,46,68,31,14,2,9,2,1,9,1,0,0,0
48,45,46,68,31,11,4,9,2,1,8,2,0,0,0
48,45,46,68,31,10,5,9,1,1,10,1,0,0,0
48,46,46,68,29,9,5,11,3,1,9,1,0,0,0
48,45,46,68,29,9,4,12,3,1,9,1,0,0,0
48,45,45,69,30,8,3,10,3,1,6,1,0,0,0
48,45,45,69,29,9,3,11,3,1,6,1,0,0,0
48,46,45,69,27,8,3,10,1,1,6,0,0,0,0
48,46,45,69,28,7,4,10,2,3,6,2,0,0,0
48,47,45,69,28,8,5,10,3,4,8,2,0,0,0
47,47,45,69,31,8,5,10,3,4,8,2,0,0,0
47,46,45,69,30,8,5,9,4,5,8,2,0,0,0
47,46,45,70,32,9,6,10,4,5,9,3,0,0,0
47,46,45,70,31,9,3,10,5,4,9,2,0,0,0
47,46,45,70,32,11,2,10,4,3,11,1,0,0,0
46,45,45,68,30,10,3,10,3,3,10,1,0,0,0
44,45,45,68,32,9,2,10,3,2,9,1,0,0,0
43,45,45,68,31,12,3,9,3,1,10,1,0,0,0
43,46,45,69,31,11,3,10,3,1,9,1,0,0,0
43,46,45,69,29,12,3,9,2,1,8,0,0,0,0
42,46,45,69,30,14,2,8,2,1,8,0,0,0,0
42,46,45,69,31,12,1,9,2,1,10,0,0,0,0
42,46,45,69,30,12,1,9,2,2,10,0,0,0,0
43,46,45,68,29,12,1,9,1,2,10,0,0,0,0
43,46,45,68,30,14,1,9,0,2,12,0,0,0,0
43,46,46,68,30,15,0,9,0,3,13,0,0,0,0
43,47,46,68,32,14,0,9,0,3,11,0,0,0,0
43,47,46,69,33,12,0,8,0,3,8,0,0,0,0
43,48,45,68,34,11,0,8,0,3,7,0,0,0,0
43,48,45,68,32,12,1,8,0,2,6,0,0,0,0
43,49,44,68,31,11,1,9,0,3,8,0,0,0,0
43,49,45,68,31,10,1,10,0,2,8,0,0,0,0
44,50,45,68,32,11,1,9,0,2,8,0,0,0,0
44,50,45,68,34,13,1,9,1,1,9,0,0,0,0
44,50,44,67,32,10,2,9,1,1,6,0,0,0,0
44,50,44,67,31,8,3,10,1,1,5,1,0,0,0
44,49,44,68,33,9,4,10,1,1,8,2,0,0,0
46,49,44,67,33,8,3,11,1,2,7,2,0,0,0
46,49,44,67,34,10,4,11,1,3,10,3,0,0,0
46,49,43,67,35,10,4,10,1,3,10,3,0,0,0
46,50,43,67,36,11,3,9,2,2,11,3,0,0,0
46,50,44,67,37,12,3,10,2,3,12,3,0,0,0
47,51,44,67,35,14,4,10,2,3,13,3,0,0,0
47,51,44,67,34,14,5,10,2,3,13,2,0,0,0
49,50,44,67,37,17,6,10,3,3,16,2,0,0,0
50,50,45,67,40,21,7,12,2,3,20,0,0,0,0
50,50,45,67,38,21,6,12,2,4,20,0,0,0,0
50,50,45,66,37,22,4,12,1,4,20,0,0,0,0
50,50,46,66,39,22,4,13,1,4,19,0,0,0,0
50,50,46,66,40,21,3,11,1,4,19,0,0,0,0
50,51,46,65,40,21,3,11,2,4,19,0,0,0,0
49,51,46,65,39,18,4,13,1,3,19,1,0,0,0
49,51,46,64,39,16,3,10,2,1,14,1,0,0,0
49,51,46,64,37,17,3,8,2,2,12,1,1,0,0
48,51,47,64,35,16,4,8,2,4,9,1,1,0,0
48,51,48,65,35,15,3,8,1,4,10,0,0,0,0
48,51,47,65,36,14,2,5,2,4,3,0,0,1,0
48,51,47,66,35,15,2,6,2,4,4,0,0,1,0
48,51,47,66,35,16,3,6,1,4,5,0,0,1,0
48,50,47,65,34,14,3,6,1,2,4,0,0,1,0
47,50,47,64,34,15,3,7,2,3,6,0,0,1,0
46,50,47,65,34,14,2,8,3,2,7,1,0,1,0
46,50,47,65,31,14,2,6,3,2,8,1,0,0,0
46,50,46,65,31,14,2,6,3,1,9,1,0,0,0
47,51,46,64,32,15,2,7,3,1,10,1,0,0,0
47,51,46,64,31,14,3,7,3,1,10,1,0,0,0
47,51,46,65,31,11,3,7,3,1,8,1,0,0,0
46,52,47,65,31,11,3,6,2,0,8,1,0,0,0
46,51,47,65,27,14,4,6,2,0,10,2,0,0,0
46,51,47,65,27,15,3,6,2,0,11,2,0,0,0
47,51,47,65,28,15,3,7,2,0,11,2,0,0,0
47,51,47,65,28,16,2,8,2,0,11,2,0,0,0
47,51,48,65,28,17,2,7,2,1,10,2,0,0,0
47,51,48,65,28,16,2,9,2,1,10,2,0,0,0
47,51,49,65,28,18,2,9,2,1,12,2,0,0,0
47,51,49,63,28,18,2,10,3,2,13,2,0,0,0
47,51,49,64,28,20,3,9,2,2,15,1,0,0,0
47,51,49,65,28,20,6,9,3,4,15,5,4,1,4
47,52,49,65,28,19,7,10,3,5,15,5,8,2,8
46,54,50,65,28,20,6,10,3,4,16,5,8,2,8
46,54,50,65,28,20,6,9,4,3,16,5,4,1,4
47,54,49,65,29,21,7,8,4,2,14,6,0,0,0
47,54,49,65,29,20,6,8,3,2,14,5,0,0,0
46,55,49,65,30,22,4,8,2,2,15,1,0,0,0
47,55,49,64,30,18,3,7,1,3,12,1,0,0,0
47,55,49,64,32,16,3,7,1,2,11,1,0,0,0
47,56,50,63,31,15,2,8,0,1,10,0,0,0,0
47,56,50,62,30,14,1,8,0,1,9,0,0,0,0
46,56,50,62,30,14,1,9,0,3,10,0,0,0,0
46,56,50,62,30,13,1,10,1,2,9,0,0,0,0
47,56,50,62,33,15,1,12,1,2,12,0,0,0,0
47,57,50,62,33,14,2,13,2,2,12,1,1,1,1
47,57,50,62,34,15,3,13,2,2,16,1,1,1,1
47,58,51,62,33,15,3,12,2,1,15,1,1,0,0
47,58,51,63,33,16,5,11,3,1,14,2,1,0,0
47,58,51,64,29,15,4,11,3,2,11,0,0,0,0
47,58,51,64,28,15,5,11,4,2,11,1,0,0,0
47,58,51,63,27,15,3,9,3,2,10,1,0,0,0
49,57,52,62,30,14,3,5,4,2,10,2,0,0,0
49,57,52,62,31,13,3,4,4,2,10,4,0,0,0
49,57,53,62,31,13,3,4,4,3,10,4,0,0,0
48,57,52,62,31,13,3,5,4,3,10,4,0,0,0
48,57,52,62,30,13,3,6,4,4,9,4,0,0,0
48,57,52,61,31,13,3,6,3,4,9,0,0,0,0
48,57,52,61,31,13,2,6,3,4,9,0,0,0,0
48,57,52,61,30,13,0,6,3,4,9,0,0,0,0
48,57,52,62,31,13,0,7,4,3,9,0,0,0,0
48,56,52,62,32,12,0,6,7,3,9,0,0,0,0
