"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
62,62,44,57,48,45,30
61,62,47,63,53,51,39
66,61,48,84,60,50,52
70,57,50,85,90,56,91
67,58,50,75,101,53,64
67,60,50,75,112,60,93
66,62,49,80,95,47,79
68,63,49,82,96,57,86
70,63,51,75,87,57,72
71,64,53,90,106,63,103
75,61,55,96,144,66,143
75,58,62,90,163,60,134
73,58,63,95,147,49,89
69,56,60,84,104,45,44
59,53,58,65,82,47,41
54,52,55,58,74,55,54
55,51,56,63,85,55,49
49,51,56,55,85,63,40
48,51,55,52,90,54,60
46,52,52,49,73,43,46
45,53,51,43,66,39,35
43,55,48,47,73,40,41
44,57,44,45,69,36,45
49,60,46,55,66,41,49
51,59,47,60,65,39,49
57,61,49,64,81,51,76
57,61,52,77,102,49,78
57,62,55,78,117,51,100
56,64,57,78,151,56,128
60,62,56,73,172,51,103
66,61,56,70,142,51,77
68,58,57,68,137,47,60
73,58,64,69,165,54,74
76,56,67,80,191,56,100
75,55,68,85,171,59,104
70,54,70,81,179,53,123
69,49,68,81,144,57,107
67,45,64,75,120,53,72
60,44,62,94,114,53,109
57,45,59,71,149,65,155
57,45,53,58,141,52,94
53,46,52,49,128,47,68
56,45,48,53,100,28,52
54,43,43,48,82,34,50
50,44,43,49,66,42,60
48,42,43,45,73,51,82
48,43,42,48,83,50,81
49,44,44,45,91,51,72
48,45,44,53,106,53,77
47,45,44,40,107,56,72
46,46,45,41,113,48,82
45,45,42,39,93,36,43
45,47,38,43,66,32,35
45,47,37,41,52,29,26
49,48,36,42,51,24,28
51,47,41,36,51,25,20
48,48,44,38,61,27,21
45,49,44,36,49,29,8
46,52,49,44,56,34,21
46,58,51,46,45,58,38
51,56,54,57,63,54,49
57,58,55,58,89,43,66
58,61,55,64,101,53,75
63,59,56,88,118,59,92
65,59,63,90,131,60,91
65,58,63,79,132,61,82
71,59,67,86,160,66,94
74,58,70,108,182,77,151
67,51,71,89,191,62,135
64,51,68,74,183,65,174
60,56,65,60,165,52,96
62,56,66,60,148,39,75
64,57,62,81,114,41,71
66,54,60,77,108,46,73
68,55,59,76,123,45,63
64,56,56,66,121,44,63
64,58,51,68,123,31,40
68,54,51,71,118,29,45
72,53,51,75,94,27,47
76,51,54,84,96,33,57
76,49,57,93,100,50,98
73,50,60,85,119,68,156
