"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
47,34,42,18,39,23,7
50,34,43,21,42,27,17
52,34,42,26,51,27,22
56,35,43,34,56,24,17
49,33,42,40,47,34,34
41,33,39,35,52,30,33
43,35,39,38,71,35,51
44,34,38,32,89,29,44
42,34,39,37,85,28,48
39,35,40,31,75,23,40
37,36,36,27,79,24,39
40,38,34,33,70,35,58
39,40,30,41,65,31,73
39,41,29,39,78,27,63
41,43,26,47,70,21,49
39,42,25,51,61,14,29
40,44,27,58,44,22,35
44,45,32,49,48,33,36
45,45,31,47,65,36,41
45,41,33,45,85,34,73
43,42,33,58,92,45,95
45,43,36,57,102,48,101
48,45,38,51,122,44,91
45,50,38,52,125,51,96
45,53,39,60,106,45,87
46,54,36,63,87,54,99
48,56,35,64,74,50,70
46,52,33,61,67,43,46
44,51,35,51,67,40,39
42,49,38,51,66,50,55
43,51,37,57,53,55,49
45,53,32,59,46,45,44
42,52,30,49,46,34,37
43,54,30,56,58,39,60
45,53,30,60,65,31,54
51,53,30,63,63,40,83
47,52,33,61,63,42,81
47,50,37,70,68,45,58
46,50,41,71,73,47,66
49,48,43,62,97,47,70
48,48,40,59,92,55,76
49,51,42,66,107,51,69
50,55,43,80,122,56,126
53,52,45,82,129,52,132
50,55,44,64,139,42,101
50,55,46,50,134,40,39
50,55,50,54,131,41,45
52,53,50,66,118,33,48
53,57,49,61,108,34,58
54,56,50,66,103,41,63
58,54,54,60,109,48,56
61,53,55,62,113,61,65
63,53,57,79,136,67,112
60,55,60,78,150,66,150
60,55,63,76,124,64,122
59,56,61,83,106,55,80
61,56,59,94,109,54,115
63,56,58,98,136,71,163
63,55,58,93,133,82,138
64,55,55,88,130,65,113
62,51,55,76,122,63,119
62,50,55,73,157,52,93
61,50,53,64,117,41,50
56,48,51,52,94,32,42
53,48,47,47,73,32,41
51,51,43,45,53,33,22
51,54,37,45,52,37,24
53,55,34,45,58,38,20
55,55,31,57,59,32,53
56,52,30,54,64,29,63
53,55,31,45,65,29,34
54,56,32,42,72,25,20
54,58,33,51,60,20,19
53,57,37,53,72,31,45
55,57,41,61,90,42,64
58,55,45,87,108,64,151
58,53,45,86,135,63,157
56,50,46,74,143,58,106
63,47,50,76,204,56,188
58,48,53,68,225,62,231
57,49,52,83,178,61,162
53,51,52,110,146,69,172
52,48,54,100,182,77,199
51,50,53,95,212,90,266
49,49,53,95,261,93,419
48,43,52,80,247,108,381
48,41,51,71,203,97,288
45,43,52,75,196,88,292
44,43,53,73,289,85,420
45,44,54,65,358,66,226
45,46,52,53,363,59,260
49,48,54,56,345,66,267
50,48,57,63,318,63,229
52,48,57,52,239,59,184
57,47,57,55,145,51,86
57,51,57,62,147,39,70
58,54,57,70,149,39,64
58,52,55,61,147,39,47
58,50,55,65,132,42,54
60,51,48,84,120,37,72
60,56,48,100,138,45,116
64,53,42,94,157,43,127
66,54,41,89,153,44,131
64,52,42,87,147,51,158
65,52,42,81,170,57,227
63,53,41,78,198,46,165
62,48,41,68,187,49,203
62,51,41,65,159,42,126
59,49,41,64,142,33,111
57,48,40,71,112,36,102
57,48,40,81,112,45,156
57,46,44,65,134,50,118
56,49,43,64,141,49,123
53,48,44,59,129,31,48
53,45,48,65,113,28,42
52,44,46,78,79,27,51
54,47,46,71,94,37,82
53,47,46,70,93,57,114
52,48,49,48,90,50,76
52,44,49,41,83,24,21
50,46,48,47,73,20,14
47,45,40,45,50,18,23
46,45,35,48,39,28,33
45,44,32,50,38,26,32
42,42,25,44,47,19,47
43,41,24,50,40,21,47
43,43,27,66,53,30,76
43,42,28,52,58,36,65
42,44,30,47,66,36,53
43,44,30,40,61,34,46
42,46,27,40,57,27,45
40,45,26,39,59,18,22
39,44,26,39,49,21,21
38,42,26,36,46,24,19
37,43,25,35,37,26,24
36,42,25,29,40,22,18
31,44,25,32,38,29,29
29,46,26,33,28,32,32
29,45,26,27,27,29,28
27,47,25,29,31,32,37
31,47,24,30,41,23,39
33,46,25,38,46,21,27
32,48,24,32,46,17,12
34,53,24,37,41,16,12
35,54,21,39,33,18,19
37,54,22,42,37,26,35
42,49,25,37,59,28,38
45,47,27,47,67,23,48
45,50,34,35,80,34,49
48,53,37,48,64,48,61
48,51,43,37,104,46,62
49,51,44,46,104,32,64
49,54,45,52,104,37,69
52,56,50,54,108,41,62
53,57,49,64,100,46,71
60,56,52,65,109,54,84
59,57,58,69,129,65,88
57,53,63,64,162,60,112
55,53,62,54,166,54,115
51,51,59,47,137,45,39
49,49,56,36,103,35,39
49,51,53,33,80,37,28
51,51,50,36,78,33,30
51,54,51,51,76,44,38
52,51,48,64,66,49,50
48,51,46,64,84,48,62
49,49,42,62,101,33,62
49,48,39,47,123,33,66
49,49,37,38,119,26,41
51,48,40,49,98,22,28
51,45,39,52,81,20,16
55,44,39,44,61,21,17
52,46,41,47,63,34,34
49,49,43,43,73,31,36
47,49,37,49,66,33,44
49,48,35,38,75,29,39
48,47,32,33,81,16,13
51,48,33,47,62,18,7
50,45,35,50,42,24,17
53,49,37,62,69,32,55
52,54,40,62,85,41,96
51,54,41,52,85,38,35
52,51,42,51,80,35,43
56,52,42,51,67,39,44
48,55,45,41,59,40,45
46,56,42,47,66,40,49
45,55,36,63,60,30,27
47,55,33,60,59,28,29
47,56,30,64,46,28,23
