"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
58,66,54,47,48,51,36
59,64,52,60,45,50,31
56,62,51,62,58,47,36
55,58,51,50,68,52,41
59,58,51,61,83,52,68
56,59,48,74,84,56,88
57,57,48,76,91,59,101
60,57,52,57,92,62,90
65,60,53,78,95,59,99
65,62,52,81,81,47,64
63,63,53,76,74,50,38
66,65,53,81,99,50,60
63,64,53,83,100,60,95
60,64,53,57,101,73,64
62,64,53,55,98,65,57
65,62,52,78,81,46,68
66,60,49,89,76,47,59
67,61,48,98,80,53,61
70,62,53,106,103,60,110
69,65,56,102,116,58,94
69,66,56,108,126,70,124
67,66,60,112,126,75,149
71,66,64,92,147,75,109
72,64,68,91,174,80,109
73,61,69,92,195,68,120
72,57,68,85,202,77,128
66,56,68,76,188,73,94
62,52,66,73,187,72,115
63,54,62,74,193,64,107
59,54,60,82,175,63,131
57,54,54,93,129,51,139
54,53,46,83,108,56,173
56,54,46,79,113,57,121
55,54,50,83,135,53,95
57,55,51,87,150,68,150
56,54,50,84,160,66,182
56,55,48,91,164,75,188
58,59,48,83,176,66,134
59,56,46,88,178,66,152
59,57,48,83,192,63,175
59,59,49,63,191,59,136
61,61,50,75,179,43,86
60,62,50,76,138,38,54
62,62,51,84,133,44,76
62,60,52,78,145,55,115
63,62,52,88,178,63,154
64,64,54,83,208,76,200
63,65,54,78,217,67,186
65,66,54,79,197,60,181
67,63,53,96,166,77,161
71,61,55,104,152,85,169
68,66,57,89,158,86,172
66,66,58,89,159,79,138
66,64,57,98,148,76,156
68,63,60,126,169,82,236
71,65,60,128,181,105,312
71,62,62,106,204,116,292
69,61,61,97,217,109,289
71,62,63,104,217,104,284
72,59,69,100,227,88,240
78,63,68,104,225,96,210
79,63,67,100,217,106,207
75,63,71,116,218,118,303
74,63,69,107,266,106,310
73,65,67,107,309,104,363
72,63,61,107,326,97,341
72,63,64,119,321,91,318
66,65,62,103,327,84,235
66,64,64,90,327,98,284
69,63,67,94,322,92,237
66,62,68,100,311,109,224
65,61,68,100,274,121,268
66,62,70,91,256,116,246
66,62,67,87,227,122,263
65,60,67,91,239,125,280
66,58,67,89,243,129,318
63,60,67,76,229,113,277
60,59,67,67,207,95,184
59,58,64,63,204,86,158
61,59,63,63,181,82,116
59,58,62,81,191,72,151
62,59,65,71,194,78,149
59,58,65,71,206,79,156
53,57,66,60,197,70,120
48,56,67,66,176,75,118
48,55,66,61,157,76,93
48,58,66,62,130,90,113
45,59,63,72,126,93,156
46,58,56,67,122,86,147
49,59,52,79,148,91,196
50,58,51,85,171,85,186
50,59,45,68,175,60,151
49,56,49,66,176,51,113
52,60,46,70,163,57,93
56,63,47,70,165,62,155
57,64,47,75,176,69,141
60,62,48,81,179,71,215
70,63,53,101,205,94,307
72,62,61,95,225,96,261
74,61,65,93,228,70,172
72,60,70,95,203,66,145
80,62,70,117,178,70,119
80,60,71,98,172,82,143
72,62,70,91,192,88,110
72,61,73,95,256,73,144
70,64,75,80,252,58,120
70,62,75,99,227,71,154
63,63,74,102,225,80,167
63,64,73,93,258,74,233
65,66,66,106,269,96,368
64,64,63,100,249,88,327
64,65,63,91,253,85,281
65,66,59,90,256,69,216
72,65,58,92,260,74,200
73,66,60,103,214,65,99
73,67,63,105,177,67,81
71,65,65,114,142,68,110
69,66,67,125,151,73,124
72,67,65,103,174,83,173
75,68,62,91,217,82,109
80,69,62,97,209,55,67
81,69,62,96,175,54,78
83,65,67,93,152,64,78
84,65,68,93,129,50,56
79,64,57,106,111,49,70
80,62,55,104,130,64,114
77,62,55,104,150,65,125
74,65,54,90,145,65,97
73,63,57,79,146,72,80
74,63,58,90,144,84,133
70,62,60,108,177,96,231
67,63,59,113,207,88,241
70,66,60,110,241,91,288
70,65,60,108,230,85,265
66,62,56,94,191,71,193
66,62,55,98,164,69,183
65,61,57,86,174,72,166
62,60,58,76,180,64,126
61,60,57,70,187,58,102
63,63,58,86,184,60,102
63,62,56,76,167,58,74
63,63,60,78,169,64,94
69,60,64,97,166,75,167
68,61,66,92,197,76,175
71,60,64,92,210,69,151
70,57,62,97,207,65,144
69,57,62,87,183,59,117
65,59,60,74,130,57,81
62,61,56,67,111,55,65
67,58,53,57,120,48,38
67,59,57,64,105,53,62
62,59,59,51,91,50,28
63,58,58,69,90,39,51
65,58,55,65,89,50,65
64,57,55,74,85,57,64
63,56,51,61,77,53,49
63,54,49,54,77,45,29
61,53,44,53,76,32,37
57,54,41,68,70,36,47
56,51,42,67,56,35,50
57,55,47,77,83,42,77
60,54,53,84,93,60,110
62,57,49,90,113,73,166
66,59,49,102,131,79,174
70,59,53,92,154,75,152
72,59,54,78,157,61,100
69,60,53,84,135,58,101
71,55,53,68,150,53,115
72,53,57,61,143,49,79
71,53,60,66,113,41,54
70,50,53,78,82,36,48
71,48,55,69,87,51,57
67,51,53,74,86,49,43
67,51,54,54,101,51,52
60,49,52,53,92,54,64
57,47,47,51,100,35,50
54,47,46,45,95,32,32
49,48,43,57,95,44,77
50,51,44,63,93,40,63
49,56,44,65,82,41,47
50,57,45,54,72,46,50
52,59,46,53,91,50,70
53,60,46,54,98,44,53
52,62,47,54,93,51,50
54,66,44,50,75,53,47
56,64,43,59,71,44,43
61,63,39,62,62,34,31
64,63,40,72,56,31,22
62,63,42,89,67,38,47
62,64,43,93,82,58,115
62,64,46,115,114,75,205
58,65,46,87,91,73,138
62,64,44,77,96,63,93
64,63,42,67,104,46,93
64,63,37,71,82,37,66
62,62,38,63,69,31,56
61,61,40,64,77,35,59
58,60,43,63,65,27,35
58,59,40,70,77,27,44
55,59,37,66,72,30,47
