"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
53,57,48,44,38,48,24
52,58,45,43,35,47,23
51,61,43,57,45,51,36
50,61,43,67,66,61,82
52,61,45,77,89,55,119
54,61,51,73,121,53,136
57,64,53,74,144,59,155
58,65,57,67,141,73,157
57,64,63,74,125,64,110
59,61,64,89,122,72,138
60,60,65,88,114,75,134
59,60,70,103,124,92,166
59,58,69,94,141,99,178
60,58,64,75,147,92,170
61,58,66,74,154,99,180
59,57,66,72,168,102,180
61,56,67,72,225,86,201
56,55,67,73,232,62,164
55,58,68,56,174,56,91
53,57,65,56,127,49,76
55,58,64,76,101,53,71
57,58,62,79,103,65,102
58,59,61,71,114,56,90
59,59,61,100,117,60,124
60,61,60,114,148,81,196
57,59,59,111,189,73,255
57,57,59,104,192,90,308
56,60,58,109,173,94,402
53,61,54,110,165,109,395
51,62,55,90,187,100,303
53,61,55,104,209,88,297
55,63,55,93,205,83,288
56,63,60,82,183,77,155
53,64,63,73,162,71,125
53,62,64,64,137,80,117
52,62,64,67,124,67,84
55,63,59,74,126,58,69
54,65,61,77,128,59,80
57,65,59,85,119,61,96
59,63,58,73,120,76,109
58,63,62,67,129,81,106
56,62,63,60,125,79,91
59,63,66,60,137,72,56
60,63,66,57,132,61,50
59,63,67,68,136,66,100
57,63,68,81,123,70,94
57,60,64,64,111,70,69
54,58,59,61,105,64,77
56,60,60,56,105,54,60
56,60,59,57,106,39,47
59,59,58,62,98,43,52
60,58,58,65,97,47,66
60,56,63,62,110,56,84
55,57,61,53,101,55,58
56,54,63,62,119,53,70
56,55,63,67,144,60,135
50,54,61,57,148,66,136
48,56,59,50,148,62,109
48,55,57,54,128,58,82
50,53,56,58,117,42,62
50,50,58,53,116,44,57
47,49,55,47,109,46,90
49,51,55,58,120,57,149
49,51,56,56,141,72,129
49,51,56,69,181,82,209
48,55,56,65,194,91,222
48,55,61,53,156,64,89
48,55,55,50,121,49,70
49,53,52,55,120,51,103
49,55,54,60,108,58,103
49,50,50,62,101,42,72
50,51,47,59,101,38,63
49,52,46,55,84,44,50
48,50,46,59,80,49,68
48,51,42,52,74,51,88
48,52,40,65,83,55,139
50,53,41,72,100,54,131
50,51,45,73,120,55,153
51,51,45,69,148,53,158
49,52,45,63,151,38,76
49,50,46,56,134,35,73
45,50,43,52,97,32,53
46,51,43,52,86,30,34
47,52,43,51,85,32,38
44,52,41,52,64,27,46
44,51,40,50,47,29,23
45,51,41,52,41,33,22
41,53,39,58,43,31,19
41,54,40,57,49,41,50
42,56,42,57,60,36,31
45,56,41,58,75,34,58
48,57,41,66,81,41,59
48,59,46,72,102,54,85
50,58,55,69,138,61,115
52,59,55,71,149,68,147
52,58,56,46,131,57,89
48,55,58,41,114,30,30
49,56,61,44,116,35,48
47,57,60,46,85,53,55
48,58,58,51,92,50,47
49,58,56,50,85,48,54
49,55,54,50,97,35,58
49,52,53,45,89,33,45
50,55,46,56,78,43,45
48,53,45,59,55,40,39
50,52,41,53,69,39,57
49,54,36,40,75,35,36
49,53,39,36,82,37,26
47,54,42,43,93,37,30
42,56,42,50,75,46,34
43,55,49,49,87,55,72
42,58,54,55,115,74,115
43,57,53,59,122,77,159
44,56,55,60,133,73,134
50,55,54,63,130,57,105
53,56,55,62,125,59,90
57,55,62,69,150,65,135
55,53,64,56,142,73,117
52,51,65,59,132,74,108
51,53,61,60,111,73,90
46,53,54,56,115,68,119
45,55,53,50,152,76,124
44,58,51,52,150,70,149
45,56,50,59,140,64,162
50,55,48,59,132,70,132
49,54,53,70,157,73,156
50,54,54,61,142,67,141
47,55,54,61,127,67,162
45,52,58,56,149,75,176
46,52,59,39,141,65,73
45,52,61,43,137,62,84
44,53,60,58,148,64,121
45,50,58,54,137,55,107
44,48,54,52,99,61,125
42,47,53,41,105,56,129
40,46,51,40,99,43,115
38,46,48,32,107,37,73
39,48,44,46,108,33,61
39,52,43,48,114,27,27
41,50,42,60,107,36,67
44,53,42,59,103,50,92
41,54,43,60,102,72,136
40,54,43,51,116,83,184
45,54,43,44,140,64,121
50,58,46,47,193,52,80
52,58,48,54,176,41,84
51,57,50,50,146,44,100
51,58,51,38,104,51,62
46,57,47,44,82,50,53
48,55,49,57,72,43,50
48,55,48,60,61,40,34
49,56,47,59,56,53,38
46,58,45,76,59,53,60
45,57,40,78,59,57,69
46,56,37,77,60,56,66
47,54,38,69,75,43,57
45,56,36,54,67,36,35
45,56,33,52,60,36,49
45,57,31,45,58,36,29
45,59,31,59,57,35,39
49,58,28,64,57,25,27
51,60,28,75,38,24,20
50,58,36,65,54,40,42
50,60,40,60,79,41,54
46,60,40,55,73,43,53
46,61,39,61,67,38,49
48,64,43,83,67,46,57
47,64,42,85,95,63,103
48,61,45,74,113,75,162
51,61,48,81,124,71,145
52,64,50,94,149,84,201
52,62,55,88,179,99,198
53,61,56,90,210,102,287
58,66,57,90,199,96,261
59,67,58,90,178,108,230
58,68,62,90,169,103,181
59,62,62,76,184,98,178
58,61,66,70,177,71,113
62,56,64,55,171,55,96
59,55,64,82,152,59,135
57,54,69,84,167,81,176
53,53,70,74,173,90,190
52,52,67,72,199,77,165
54,51,66,69,203,62,186
52,52,68,73,190,62,171
50,48,66,65,186,65,142
47,49,65,60,173,76,124
48,49,62,59,144,68,101
49,50,53,63,151,57,102
48,49,52,80,148,55,117
50,51,54,92,142,68,149
48,52,54,82,130,76,193
42,52,52,61,128,75,173
43,54,53,47,141,67,182
42,54,55,42,109,55,85
42,55,53,48,88,51,48
42,55,49,37,70,58,72
44,60,49,28,81,51,34
47,63,49,44,78,37,24
48,63,50,49,73,34,22
