"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
46,35,53,29,32,22,4
50,34,54,28,35,30,8
50,34,54,42,43,38,28
47,36,54,50,59,49,50
47,38,50,55,75,62,75
50,39,50,56,95,57,84
49,37,57,49,125,52,63
49,38,53,50,124,43,75
51,39,54,47,102,51,76
51,41,53,45,96,43,59
52,41,54,33,91,46,44
52,42,56,41,102,51,53
55,43,55,55,105,42,43
59,45,54,69,124,52,107
57,41,57,81,194,56,217
64,41,59,73,226,52,186
62,41,63,63,193,53,172
59,41,65,48,177,55,126
56,41,65,55,156,53,91
55,41,57,52,149,61,147
55,42,60,40,182,48,105
55,40,62,38,184,42,59
56,39,56,40,145,29,37
53,39,55,42,112,24,38
55,41,51,50,108,39,63
54,41,49,62,138,48,155
53,41,51,62,184,45,165
56,40,50,53,231,42,171
60,39,52,54,254,53,197
60,39,55,64,300,59,283
58,42,58,57,330,60,277
60,41,61,59,334,56,245
61,43,63,62,321,60,286
61,43,62,68,324,67,304
61,43,60,63,295,68,275
65,44,61,66,294,68,219
67,45,61,70,332,59,279
66,44,62,68,376,44,258
68,40,61,71,389,31,193
69,39,64,46,357,29,92
69,40,65,41,271,23,48
70,39,68,51,198,37,89
71,37,68,52,191,57,154
67,36,69,48,195,49,106
60,34,66,54,175,34,87
56,35,64,41,131,42,67
55,36,58,42,105,39,60
55,35,58,45,95,43,53
57,35,58,41,96,42,47
58,38,60,56,116,58,85
61,38,62,54,142,50,79
58,39,64,43,161,42,76
60,37,63,43,126,45,65
58,35,61,42,108,46,65
54,35,57,36,117,37,43
54,37,57,40,128,40,64
51,38,54,44,100,44,59
50,39,55,59,104,45,81
51,39,52,51,104,46,89
53,38,52,43,121,48,104
49,36,50,40,107,42,62
56,35,51,42,122,33,54
58,37,50,33,121,34,32
59,38,49,40,82,34,38
61,36,52,48,84,33,49
60,37,51,52,101,38,64
59,36,53,54,106,41,55
60,37,60,56,112,35,50
62,35,63,46,136,36,72
64,33,65,50,182,46,159
67,39,65,68,215,58,272
67,38,66,81,231,66,245
64,37,69,81,326,68,319
60,37,69,85,381,77,359
62,37,66,76,389,77,375
63,36,63,59,358,64,283
63,36,64,60,320,63,207
63,37,63,60,297,55,185
55,37,60,57,223,57,136
52,36,55,35,188,45,86
51,39,46,38,128,26,39
46,35,45,35,102,21,24
45,36,41,38,71,23,19
46,37,39,40,65,34,36
45,37,39,36,65,27,37
42,38,38,38,60,20,34
47,38,34,41,44,18,16
43,39,33,46,47,23,26
47,39,32,47,50,33,40
51,39,33,52,55,40,48
56,39,35,61,103,37,88
60,40,45,64,192,43,116
60,39,53,70,240,50,155
62,41,55,56,274,50,135
61,38,57,54,292,39,126
62,38,57,45,310,33,97
58,37,55,62,281,42,142
61,36,55,68,323,43,217
60,34,55,44,347,42,145
58,31,60,37,335,34,75
