"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
57,45,37,42,37,32,22
58,43,36,42,51,28,24
58,44,37,49,62,30,44
57,44,37,53,78,29,45
51,47,37,62,72,29,51
50,48,39,66,75,36,52
51,48,38,63,100,30,46
53,47,41,50,113,31,41
53,43,41,42,118,25,48
48,45,37,50,91,34,59
48,47,37,70,89,36,75
47,47,37,81,80,41,93
45,49,39,74,72,41,108
51,52,39,67,83,42,72
51,53,42,63,98,32,69
51,56,45,67,99,35,52
54,53,47,78,117,49,94
51,55,47,68,136,54,96
50,54,49,59,136,45,76
48,55,47,63,125,53,101
48,53,46,60,110,51,82
52,53,42,65,82,47,83
48,53,43,56,75,52,82
50,51,42,67,72,48,61
49,52,44,57,83,51,74
50,51,42,55,82,51,60
47,49,41,50,60,39,17
51,53,40,53,46,37,31
55,52,40,59,42,32,36
55,50,36,62,36,32,25
58,49,38,64,52,38,35
60,50,41,63,74,37,40
60,51,43,62,87,39,56
57,52,50,71,120,58,124
55,51,55,65,147,54,122
56,49,58,51,154,42,83
54,51,57,46,131,44,46
53,50,54,43,109,46,31
54,49,48,57,105,39,49
52,48,46,49,96,40,55
50,49,45,45,93,47,40
52,50,45,46,103,41,39
53,49,46,62,115,44,43
52,50,44,72,127,53,86
51,50,44,69,147,53,129
51,50,45,66,145,52,140
49,48,45,73,128,48,105
48,50,45,61,120,49,91
48,50,45,67,126,55,133
49,53,45,74,130,60,117
53,54,45,68,130,56,100
54,55,46,60,155,49,88
59,58,53,71,204,42,74
62,59,59,76,191,57,109
61,57,62,61,134,70,76
62,58,65,62,118,58,46
62,57,69,52,125,52,35
62,58,71,60,109,52,47
68,58,72,93,134,70,166
69,56,72,103,166,99,299
70,56,74,77,194,82,186
69,54,73,72,224,81,187
68,51,75,73,224,70,152
67,51,76,82,191,76,124
66,48,78,80,189,81,134
66,50,76,69,184,92,90
63,48,73,54,182,80,101
63,49,74,47,196,74,79
61,45,72,45,170,61,54
60,44,71,49,156,46,47
60,43,70,51,143,38,45
60,45,67,68,133,66,101
55,46,65,53,125,64,78
54,46,63,43,135,55,68
54,46,60,46,122,55,66
53,49,59,49,107,51,51
54,47,57,44,106,46,56
54,49,54,53,97,52,72
56,51,52,65,90,50,85
62,50,49,71,96,52,93
63,49,51,68,113,63,107
60,50,56,60,123,65,79
