"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
45,46,57,31,30,40,9
44,49,59,43,31,41,26
41,53,59,56,44,48,31
45,52,59,58,54,45,41
45,51,59,58,55,43,45
46,51,60,57,59,46,47
49,50,60,59,71,49,63
48,50,58,54,92,50,74
43,51,58,49,83,48,65
41,47,54,36,63,41,37
41,46,53,32,56,34,25
39,48,50,37,63,32,28
36,46,46,37,62,30,25
34,44,42,32,64,32,30
32,44,41,41,51,38,41
32,46,40,40,55,42,68
33,46,36,35,59,32,30
32,45,38,32,59,27,21
32,47,37,32,46,32,30
32,49,35,41,42,31,43
32,49,40,36,45,34,28
36,53,45,42,64,33,26
43,52,44,35,81,25,20
43,52,50,43,96,28,32
44,55,55,50,115,35,43
46,54,59,43,134,41,61
45,52,63,41,118,48,87
45,54,68,54,115,70,109
41,54,67,51,96,80,98
40,56,65,64,92,89,144
41,52,61,49,110,77,130
44,51,60,53,114,67,97
44,53,61,51,99,57,65
42,54,57,51,99,59,62
43,54,63,61,87,59,49
44,56,63,62,93,58,67
46,53,61,47,103,75,80
44,51,61,35,122,48,56
44,51,63,32,129,49,64
46,52,63,46,94,46,53
49,51,64,50,91,48,48
48,54,64,54,89,61,66
45,53,66,51,79,64,67
44,53,67,50,105,70,80
46,54,67,55,141,88,124
47,53,66,56,167,76,93
46,56,66,67,173,71,105
49,54,69,76,148,77,131
49,54,74,80,150,118,181
46,54,69,78,166,121,250
43,50,69,63,213,109,265
38,51,66,63,210,103,260
38,50,64,63,206,99,228
39,48,64,69,200,107,285
40,49,64,63,197,117,271
42,48,67,59,226,107,252
42,46,69,53,267,109,296
39,44,69,42,236,104,251
35,40,67,42,215,97,241
34,42,63,38,207,97,204
33,41,62,23,224,62,104
34,40,61,21,233,38,29
35,42,57,27,203,30,38
33,44,56,28,177,36,74
33,44,55,29,152,48,110
32,45,54,27,113,54,65
32,46,52,27,99,55,75
31,47,54,29,94,53,59
31,48,58,31,93,64,46
34,49,56,30,92,73,84
37,52,54,50,95,85,97
39,48,52,50,105,95,116
40,46,52,44,126,89,107
44,50,52,56,154,75,121
44,51,56,52,141,64,83
43,49,57,50,112,55,66
40,50,60,50,104,63,69
39,50,61,61,120,76,136
39,49,62,64,131,85,187
39,48,60,60,130,81,117
38,45,60,45,137,82,100
38,46,60,48,127,82,99
39,46,60,42,140,65,91
37,49,60,36,141,72,116
37,49,62,39,129,74,111
39,51,62,52,130,72,93
39,52,63,56,133,78,91
41,53,65,63,153,71,117
43,54,65,64,202,66,110
45,52,66,60,197,68,151
45,50,67,53,193,89,242
44,47,70,48,224,81,208
46,48,70,46,247,67,157
45,48,68,55,233,87,268
44,48,69,60,242,114,379
43,46,67,63,294,135,452
43,44,68,56,337,116,425
44,44,70,58,397,107,499
42,43,70,38,459,77,239
43,42,70,31,417,37,61
42,44,73,39,316,26,41
42,43,73,45,218,38,64
44,44,76,47,203,66,150
42,42,75,43,198,68,152
39,42,73,31,207,66,122
39,49,73,37,235,47,65
40,47,73,39,231,37,49
44,44,76,37,196,37,47
43,44,77,37,171,36,43
46,48,78,37,136,44,46
46,50,80,42,130,52,51
43,50,79,53,139,74,115
44,54,78,45,180,80,163
46,53,78,47,201,77,181
49,50,78,45,225,80,237
47,49,74,39,213,83,190
44,49,76,38,206,69,129
43,49,75,39,170,79,126
40,49,66,38,97,81,101
34,50,57,27,73,67,54
37,53,57,23,77,50,21
37,53,56,30,73,36,26
39,52,53,37,69,37,23
40,52,53,36,52,41,27
42,52,52,36,42,35,16
39,50,51,31,48,25,15
42,51,50,31,56,33,15
42,49,54,39,61,35,21
40,53,58,45,67,35,25
42,53,50,49,53,30,21
44,56,47,52,48,36,25
48,56,49,54,70,39,26
50,56,49,54,89,55,42
51,56,48,54,82,41,37
52,56,49,47,75,41,30
55,53,54,57,80,50,68
54,51,54,57,84,52,69
