"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
41,51,63,35,36,57,20
44,53,61,35,42,45,21
49,54,58,46,55,46,32
49,56,55,51,74,54,57
49,54,58,53,86,65,84
54,52,58,55,92,65,69
55,48,57,53,102,52,61
53,47,60,57,122,48,100
53,51,57,51,111,50,99
56,50,55,59,106,45,57
55,51,53,70,113,32,63
52,48,53,87,101,56,104
55,47,59,71,116,65,114
53,45,58,63,132,64,92
52,46,52,51,118,49,53
45,46,52,43,87,43,28
40,45,56,33,66,45,22
38,45,58,31,73,44,34
38,46,47,40,57,30,21
39,46,41,36,52,24,24
40,45,36,31,48,23,18
41,46,37,31,56,31,18
40,49,38,36,54,36,39
41,50,40,41,61,40,47
43,49,43,51,68,41,69
41,47,46,37,83,29,57
39,50,43,29,77,36,39
43,51,46,33,55,44,28
43,53,45,42,50,45,38
45,54,49,42,63,42,55
46,54,57,48,64,46,55
47,54,56,73,82,51,73
52,55,56,90,104,64,120
55,56,56,97,145,83,205
58,55,60,87,202,101,247
60,55,67,94,264,91,227
61,53,71,84,280,92,200
58,53,74,72,227,73,148
59,55,75,68,183,79,128
58,54,74,61,167,58,101
58,51,72,43,154,37,47
54,50,67,43,125,32,31
53,48,63,43,98,36,35
50,45,56,46,76,41,35
49,46,56,47,55,49,39
47,47,55,50,74,55,47
47,47,55,49,108,39,34
46,44,48,37,89,32,29
43,45,45,35,69,43,37
44,46,48,33,62,46,40
44,47,50,41,75,34,21
42,45,51,32,82,43,36
49,44,51,31,91,43,39
47,45,53,36,82,38,35
49,45,52,54,95,38,62
49,41,51,47,100,35,41
50,41,47,47,85,34,35
52,41,50,52,74,41,42
53,42,50,66,79,36,43
50,44,54,62,77,42,56
52,49,52,70,91,40,77
56,49,53,69,100,40,77
55,50,55,71,100,46,82
57,49,57,79,112,56,111
56,49,58,83,152,65,146
60,48,57,74,181,68,191
62,47,59,72,187,65,199
63,45,65,61,165,67,124
58,47,66,61,140,70,109
53,45,66,55,132,74,79
52,45,64,71,171,74,141
53,45,63,82,180,76,172
54,44,64,66,183,74,138
53,45,65,53,199,63,104
52,44,63,39,193,55,91
51,47,63,48,164,65,88
52,52,63,52,133,52,54
50,51,57,42,105,39,30
52,50,53,39,89,35,22
52,51,57,47,79,49,38
52,53,56,57,71,58,82
56,54,54,70,84,61,127
57,53,59,64,117,56,104
60,52,64,53,148,48,43
59,50,63,51,144,51,59
54,51,61,45,132,44,61
51,51,55,48,98,37,45
48,50,54,49,67,39,30
48,48,53,41,55,36,13
46,48,51,42,47,35,18
49,47,49,48,53,28,22
48,48,50,50,60,30,24
48,50,48,55,73,21,28
51,52,42,67,74,27,51
52,51,42,53,78,29,35
50,54,42,49,79,29,41
51,55,43,51,75,29,48
52,58,44,49,75,33,43
52,57,45,62,69,42,58
55,56,48,66,79,51,67
60,58,56,82,95,54,76
61,59,57,86,113,54,80
61,62,58,106,122,57,128
63,61,57,99,143,65,159
64,60,57,100,164,66,199
61,55,60,86,161,78,220
57,58,62,77,140,77,169
56,55,66,72,128,74,109
55,55,59,73,102,66,80
52,56,54,92,87,75,108
53,57,51,86,82,83,115
49,61,51,77,83,74,106
51,61,50,74,95,80,134
51,59,55,64,100,75,114
50,56,53,52,86,60,55
47,57,53,50,71,53,46
47,59,50,68,78,49,66
48,61,50,75,83,69,112
47,63,50,81,91,75,140
49,64,49,80,125,77,196
52,62,52,83,163,77,346
54,59,53,100,153,72,248
59,58,56,86,139,75,138
54,57,55,73,103,67,83
53,57,56,68,98,56,68
53,56,58,65,102,53,64
52,55,61,58,102,55,77
52,54,61,57,109,46,57
53,56,62,76,117,55,89
51,53,66,75,132,78,143
51,52,66,76,136,80,146
52,53,67,80,150,79,187
53,51,68,72,150,76,140
54,52,68,59,153,65,108
52,52,67,57,121,65,86
48,52,65,54,97,77,69
46,49,61,56,94,86,104
48,50,64,65,133,88,201
45,46,66,70,152,99,316
42,43,68,63,158,95,219
41,42,64,51,131,78,150
40,46,63,51,131,74,125
42,45,63,46,117,63,86
43,49,64,43,99,59,53
42,50,63,49,94,63,48
45,50,64,49,94,43,42
49,50,61,63,91,69,101
50,49,59,64,105,76,136
50,49,59,63,114,68,103
49,49,57,48,114,45,55
48,50,58,42,92,37,35
48,49,57,49,105,51,64
50,55,60,57,124,73,95
53,56,62,68,146,74,111
53,59,62,65,117,76,110
55,60,62,62,137,71,125
52,58,61,58,108,66,86
49,59,59,67,79,65,82
47,58,55,81,54,70,52
48,58,52,71,67,78,72
54,58,45,94,76,61,62
53,57,44,87,88,52,59
55,58,43,87,103,69,175
55,57,44,112,124,77,214
58,59,45,96,159,61,149
59,58,47,72,179,65,186
62,59,44,63,156,55,148
61,57,45,55,138,45,66
57,56,52,51,124,39,47
60,56,54,51,118,34,23
58,58,54,55,80,35,19
58,56,59,72,70,40,51
62,54,59,82,86,53,85
62,55,60,85,101,65,107
63,53,61,86,126,63,136
59,52,60,65,133,57,98
52,51,56,43,142,55,66
50,52,58,55,118,46,60
48,52,57,54,95,51,61
47,50,53,54,65,55,51
47,49,51,61,73,55,76
48,47,51,51,93,47,71
49,47,51,44,96,33,52
54,49,52,53,105,39,52
55,48,54,61,107,51,87
54,46,55,72,107,56,127
49,48,57,61,101,64,117
48,49,61,55,131,83,160
48,47,60,60,143,80,136
49,46,61,60,162,71,177
48,48,59,64,176,72,240
50,47,60,68,169,77,298
50,43,62,67,150,77,265
50,45,61,59,142,71,216
51,47,60,61,135,52,114
50,51,60,59,149,47,93
54,54,60,74,146,46,116
53,54,60,76,122,62,146
55,49,58,65,107,80,115
57,49,57,67,123,78,78
