"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
45,45,46,30,38,31,23
42,44,48,30,45,38,28
42,45,49,45,44,46,36
42,45,51,49,64,50,60
44,46,49,50,70,41,47
46,45,46,46,61,33,29
47,49,44,35,56,22,12
47,52,47,39,64,39,22
54,51,49,57,75,42,42
57,54,51,72,88,51,74
59,54,56,68,117,57,81
59,54,56,66,121,64,102
61,54,57,62,122,68,108
62,54,62,76,121,66,102
62,56,63,73,129,58,85
65,59,65,96,135,76,147
66,58,70,113,169,107,211
70,60,73,101,201,112,202
67,57,76,81,209,96,180
62,54,73,80,186,73,134
64,53,71,73,174,73,114
61,53,70,65,165,63,76
62,55,69,59,169,42,65
59,52,71,66,154,42,87
62,52,69,72,125,50,78
61,51,66,78,119,61,83
60,52,67,68,127,67,97
60,49,63,65,133,68,111
58,49,61,62,141,80,154
57,48,58,70,152,81,195
54,50,59,72,140,76,138
56,46,54,77,126,65,132
54,47,51,77,116,63,132
56,47,49,81,118,54,121
53,46,48,70,113,57,89
55,47,42,70,99,39,70
52,48,46,60,94,44,91
50,46,47,52,84,31,47
49,47,43,52,85,26,32
50,50,44,57,75,38,57
51,51,43,70,84,46,83
53,51,45,62,94,43,74
55,51,44,63,98,42,77
56,49,43,60,85,35,45
55,46,42,58,78,35,38
58,46,45,48,79,46,54
58,48,51,41,92,56,45
60,46,57,39,119,52,54
59,44,59,39,107,39,27
59,41,66,50,96,35,24
60,38,65,54,95,36,18
58,37,65,58,96,38,29
58,36,65,59,102,44,58
55,41,67,63,122,50,76
57,40,68,68,140,53,106
57,38,65,62,141,65,112
55,37,67,40,154,48,72
51,38,66,39,146,49,67
52,39,65,46,141,36,57
51,38,63,51,137,34,70
52,41,58,46,129,44,98
51,40,53,43,130,39,68
52,43,51,41,123,47,65
52,41,53,54,127,51,100
52,41,56,58,128,57,111
49,42,53,46,122,51,60
48,40,52,41,117,38,61
44,41,50,36,97,42,72
41,42,49,43,109,44,111
40,44,51,58,142,57,264
41,44,50,79,184,82,471
43,43,51,90,222,90,504
42,44,53,94,310,111,862
44,42,49,82,368,103,940
47,41,51,82,407,94,931
47,41,51,81,378,79,696
48,40,54,68,351,64,363
49,39,55,56,320,59,162
50,39,55,48,273,47,132
49,37,54,48,233,32,104
46,35,54,32,183,27,83
43,37,51,31,127,19,56
40,36,43,34,84,23,26
38,35,43,36,72,28,24
36,35,41,29,63,28,27
33,36,41,18,49,29,24
29,35,35,15,49,19,15
26,37,35,16,40,17,7
26,37,34,29,31,17,13
29,37,31,33,28,21,14
29,41,31,36,37,30,35
30,43,35,40,54,44,48
30,44,37,35,82,40,59
34,44,41,34,107,56,73
35,42,45,33,138,57,105
36,39,47,29,178,43,92
38,41,47,28,192,42,89
41,43,50,29,181,52,118
40,43,50,31,166,56,110
40,43,49,30,142,49,70
43,43,52,41,113,47,74
42,41,51,50,93,46,66
41,41,52,52,86,45,62
42,42,54,43,92,45,54
39,42,59,44,85,52,55
42,43,62,38,116,52,61
45,45,59,37,127,58,49
51,47,66,49,176,47,68
56,47,68,61,203,36,61
58,47,70,76,209,53,136
60,48,70,64,181,53,125
60,48,73,71,168,47,95
57,46,73,56,200,45,82
52,43,73,50,201,53,114
49,39,71,52,178,64,140
51,39,67,58,167,55,131
41,38,55,45,95,52,86
40,35,51,36,78,42,41
40,36,50,43,78,36,33
39,37,47,35,62,36,44
40,39,45,41,54,38,38
39,41,45,27,40,36,22
39,40,45,23,50,31,12
38,39,45,23,62,17,5
38,38,46,27,63,13,2
39,39,43,39,44,12,4
