"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
59,49,54,36,46,33,15
58,47,55,35,53,36,17
57,49,56,60,59,53,40
60,50,55,68,66,52,49
61,51,54,67,73,52,52
63,49,53,55,72,49,43
61,49,53,52,94,40,37
59,51,57,40,110,33,28
58,51,62,40,118,31,28
57,51,61,46,88,45,35
55,50,58,48,77,50,38
57,49,55,49,87,46,35
61,51,56,75,100,61,68
59,50,57,66,101,65,82
61,47,58,65,110,60,104
61,45,57,57,112,52,64
61,43,58,48,105,43,43
59,42,58,47,103,38,40
57,45,55,56,118,44,59
57,43,53,58,119,48,86
57,43,52,61,116,48,100
61,43,51,54,119,35,48
64,48,52,62,106,40,47
63,45,54,50,102,39,55
61,46,52,49,92,41,65
64,45,54,65,110,41,86
69,47,55,86,131,45,110
68,48,55,98,167,55,151
70,48,60,105,178,69,187
70,48,61,103,172,78,192
71,48,61,98,203,83,245
70,47,60,95,232,70,251
70,46,62,81,269,52,215
70,44,59,79,253,49,154
70,41,61,78,238,53,196
66,44,63,69,213,62,158
61,42,64,65,206,68,153
53,43,63,66,185,65,158
48,42,62,60,147,48,96
44,42,58,42,96,46,58
43,42,51,45,93,35,52
44,44,44,48,86,31,60
43,48,42,48,85,47,61
45,48,41,53,93,47,68
47,46,41,61,103,41,68
48,46,42,62,118,35,76
47,45,43,58,136,47,103
48,44,44,52,145,52,104
46,42,42,46,148,36,57
45,48,41,53,140,32,94
46,49,41,43,128,31,77
49,47,42,51,113,27,47
53,46,50,53,134,33,42
56,45,50,56,103,41,43
55,43,50,52,107,38,29
54,42,50,51,103,37,31
53,41,50,55,83,36,42
48,41,49,50,83,37,39
45,42,48,46,71,39,39
48,43,48,53,72,35,46
50,42,46,66,74,31,40
53,44,47,64,81,37,40
54,47,46,74,79,45,51
55,45,46,83,105,60,202
51,48,49,57,120,52,116
53,48,48,44,126,34,40
53,48,48,34,123,30,34
49,47,52,34,100,32,23
49,51,48,40,85,29,25
49,49,45,47,72,28,19
51,48,42,45,69,28,24
53,49,42,43,68,32,24
53,50,43,44,62,32,31
51,49,42,57,68,22,23
50,47,42,47,67,28,22
54,44,41,44,64,34,35
55,46,33,65,53,19,26
50,47,36,63,60,25,33
53,45,40,50,87,35,40
53,42,37,49,79,25,38
55,42,35,46,70,27,40
52,42,36,57,71,36,35
48,43,36,62,48,33,34
40,43,31,44,41,32,34
37,43,32,40,44,28,29
34,43,31,34,42,26,19
35,38,32,30,41,24,20
36,41,30,28,44,23,18
35,43,33,31,39,20,18
35,43,30,35,29,24,23
39,45,27,41,39,35,41
41,45,31,45,72,28,41
46,47,32,45,132,27,30
50,45,39,41,217,27,29
50,44,45,44,172,32,38
55,45,52,52,185,28,67
53,44,58,78,161,60,151
55,45,58,71,160,50,97
51,42,56,64,155,40,50
52,41,55,76,178,36,74
51,39,57,61,176,50,115
51,40,56,56,173,34,99
44,39,47,41,135,35,97
41,42,41,42,85,38,72
39,40,33,42,94,30,68
42,42,33,43,72,23,26
44,41,36,56,83,26,52
42,42,35,57,72,34,52
42,40,35,46,66,37,51
42,41,34,47,67,40,55
43,40,34,38,54,38,35
44,41,33,37,50,28,27
46,43,31,44,39,30,24
49,45,36,41,60,34,36
52,47,38,56,78,25,42
57,46,40,60,86,32,51
60,44,42,64,79,35,59
59,45,46,70,89,26,43
56,44,46,63,93,33,35
56,46,46,65,95,45,59
53,49,43,65,74,40,60
52,49,43,63,73,37,66
47,48,41,64,56,28,56
48,47,43,51,58,27,38
49,45,44,49,68,18,31
52,46,46,44,101,32,54
57,45,49,46,165,36,68
59,45,54,44,170,50,114
57,44,59,47,155,44,62
55,43,61,56,192,35,80
53,42,62,46,182,30,45
51,38,56,37,148,27,52
50,37,52,39,125,28,37
46,38,48,38,127,31,60
42,42,47,34,152,40,108
39,41,43,27,149,29,70
37,41,35,26,70,18,23
35,44,35,33,49,22,14
38,46,34,37,48,23,17
41,46,33,38,42,26,23
42,44,35,33,48,30,32
44,43,37,36,81,38,65
48,44,45,46,133,48,89
50,47,49,51,169,61,146
55,46,51,73,193,63,199
59,42,53,68,181,53,148
59,42,56,65,175,44,132
53,41,53,48,131,35,69
52,42,54,43,118,38,65
51,40,48,36,107,34,48
51,42,45,41,78,33,44
51,44,41,49,73,37,57
51,44,40,58,79,50,82
57,45,41,62,85,52,107
58,43,43,63,114,46,117
58,44,44,62,126,52,122
60,43,44,60,139,46,137
59,43,45,65,154,39,154
59,42,47,76,150,47,197
58,43,49,80,158,57,168
56,43,49,73,181,52,148
57,45,51,66,206,57,149
54,48,49,60,226,50,158
55,49,48,61,189,36,101
58,51,50,74,147,36,78
61,51,53,55,140,42,71
61,50,56,57,156,38,63
61,51,58,55,179,44,74
61,49,58,66,153,47,80
60,51,57,80,128,53,99
59,51,55,90,131,60,145
60,50,55,98,142,74,181
62,52,55,88,185,82,225
65,47,53,75,187,78,248
63,48,55,79,98,68,100
59,48,53,88,63,57,62
58,48,51,84,79,50,76
57,47,46,75,88,46,66
52,48,44,71,97,44,76
52,46,42,57,106,37,65
51,47,41,45,102,25,44
49,47,37,46,85,21,34
51,47,38,45,69,28,26
51,46,38,52,56,28,28
50,45,38,57,39,33,31
56,48,38,70,59,41,55
53,48,35,74,70,38,65
51,44,36,60,70,35,60
49,41,32,50,61,35,48
51,44,33,52,55,37,51
52,45,32,49,49,27,41
57,45,34,51,79,23,38
57,45,53,56,120,25,47
62,45,59,64,144,39,99
60,46,60,84,154,57,123
62,46,58,81,176,86,237
61,47,59,65,214,66,214
60,44,58,58,236,54,127
61,46,56,51,200,39,86
60,46,57,49,163,37,64
