"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
43,49,52,34,32,36,10
42,48,52,36,39,38,16
44,48,47,40,40,34,31
43,48,47,45,37,43,27
45,51,50,46,41,46,27
48,54,48,58,49,43,35
50,54,52,63,68,53,57
51,54,53,67,67,61,62
49,53,54,55,72,56,47
51,53,53,46,77,50,48
48,57,51,56,76,52,44
48,59,50,63,76,53,59
49,60,51,71,80,54,76
53,61,51,63,81,57,76
52,61,51,60,81,62,55
54,60,54,71,90,62,61
55,62,55,73,90,62,70
56,64,59,68,112,68,104
57,64,57,64,134,68,121
61,64,61,63,150,67,92
67,63,68,80,165,69,136
68,64,68,93,142,85,137
69,64,67,103,132,91,135
71,64,69,108,143,90,117
76,64,68,101,140,74,100
73,63,71,97,125,67,98
69,60,70,89,124,69,92
66,59,68,91,148,72,126
66,56,64,86,166,73,157
63,56,64,91,173,85,205
62,54,63,80,182,83,198
62,55,62,72,180,78,162
58,55,60,72,132,68,103
57,52,58,77,116,72,90
55,53,55,72,112,75,126
56,51,55,48,118,62,76
56,52,57,56,98,66,74
57,50,57,71,110,56,109
56,51,59,62,119,58,86
60,51,54,60,113,52,73
61,48,55,53,120,48,60
59,49,58,50,133,54,77
61,50,61,55,131,60,60
61,52,60,56,124,48,60
58,53,59,70,136,48,106
60,50,65,65,170,56,100
58,49,65,64,172,48,58
58,46,65,55,157,39,28
58,44,67,57,156,39,23
57,44,65,56,169,44,55
54,44,68,53,193,49,112
51,44,65,54,179,57,120
51,45,65,56,159,53,113
45,47,59,48,102,35,44
51,47,53,57,86,37,42
51,46,52,58,83,33,54
51,48,51,51,77,32,54
47,49,50,39,73,27,18
47,49,46,43,74,30,27
43,51,42,44,67,40,35
48,53,40,54,75,40,62
46,54,45,54,91,55,82
49,53,50,59,121,73,80
52,53,50,72,131,80,115
57,54,54,77,160,76,158
57,50,57,68,207,56,172
55,54,56,85,189,73,213
51,53,57,78,167,89,202
51,53,57,72,156,92,197
49,58,60,80,155,92,190
51,57,60,83,185,105,267
52,53,60,74,177,116,272
54,56,60,78,206,105,283
54,56,58,71,244,86,265
54,56,58,69,253,64,263
51,56,58,66,253,64,199
52,59,57,68,210,50,121
55,59,58,72,177,46,40
56,58,58,56,182,37,23
55,58,60,61,174,27,28
55,60,61,68,148,36,55
57,60,65,69,146,54,97
57,60,70,72,123,70,89
55,60,65,78,123,64,93
55,59,60,67,116,62,125
55,55,57,65,87,46,77
51,52,48,52,60,16,6
50,48,45,40,63,14,13
47,50,41,39,65,14,14
45,47,42,48,59,27,36
43,46,39,60,52,26,60
42,45,35,61,54,28,54
40,43,34,46,59,24,30
37,45,32,37,64,14,18
32,44,34,30,57,19,28
30,45,30,26,37,17,17
30,44,29,34,34,16,14
31,41,26,32,37,20,16
33,43,27,38,46,28,38
37,42,38,57,175,52,251
39,44,44,69,352,76,646
41,44,49,59,457,79,642
41,46,51,55,435,81,620
42,46,57,48,357,91,527
45,46,59,57,266,80,322
45,46,58,48,204,57,164
49,47,62,55,225,61,182
49,47,61,66,206,68,251
50,51,61,69,208,66,272
50,48,61,63,242,63,271
48,47,58,57,218,55,208
50,47,59,56,161,57,111
48,48,55,60,130,45,72
46,48,58,65,107,41,76
52,48,57,78,113,39,80
54,49,61,59,136,44,66
55,50,61,63,140,53,97
49,48,60,49,121,55,90
45,51,58,38,128,52,61
45,48,57,37,111,56,45
45,48,57,37,96,48,47
52,47,52,48,99,45,72
55,49,48,49,100,38,52
54,48,48,56,84,23,22
55,45,44,58,68,25,26
52,45,42,52,79,19,27
47,45,42,55,73,28,39
47,45,45,51,74,31,40
47,43,46,44,70,30,37
48,46,48,42,81,38,50
51,47,52,38,88,38,48
49,48,51,35,79,37,42
46,49,52,47,80,26,24
43,46,49,46,80,30,42
45,48,48,36,84,32,32
46,46,49,35,82,24,19
46,47,45,40,69,19,16
42,49,44,38,53,28,25
38,48,42,41,43,37,29
35,49,40,30,43,39,36
32,48,39,32,44,36,17
35,48,36,37,44,28,23
34,48,32,37,30,22,19
33,49,31,37,19,18,12
32,51,28,39,15,19,12
35,51,32,38,25,25,17
38,50,31,46,30,33,29
42,51,31,57,45,32,25
43,49,33,57,66,32,28
44,48,42,66,105,38,110
48,48,46,71,127,42,143
48,50,49,71,149,50,212
47,48,52,76,199,70,288
46,47,52,80,225,68,376
46,49,54,80,226,77,366
51,50,53,74,188,80,246
49,49,56,64,143,69,148
48,50,57,47,102,63,78
51,55,59,52,105,54,56
51,54,53,50,105,50,83
49,54,51,42,105,38,56
48,54,47,41,119,37,84
48,57,45,47,109,28,38
49,58,46,57,86,29,28
49,60,45,62,58,35,18
53,63,46,69,63,44,17
56,62,44,63,65,46,25
64,61,48,78,100,64,83
65,59,48,86,104,67,129
68,58,53,81,139,66,105
68,57,55,78,175,54,104
69,56,53,84,173,53,125
67,54,55,78,142,57,79
68,55,56,71,118,53,73
68,54,62,72,134,62,78
64,53,61,68,128,62,72
63,52,61,82,118,68,95
63,55,62,95,124,66,101
60,54,61,86,137,59,116
61,55,61,92,159,72,159
61,54,61,100,187,83,216
59,54,60,98,182,87,208
59,56,60,104,186,84,234
58,60,56,91,184,75,201
57,63,57,78,203,72,173
