"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
37,48,48,29,26,37,19
38,46,53,30,32,47,27
36,46,52,40,37,55,36
37,48,50,51,46,50,58
39,46,48,55,53,52,76
38,49,50,53,54,56,61
40,49,51,46,63,59,59
43,50,53,44,79,62,66
42,51,53,38,60,60,50
46,52,53,51,70,51,43
49,51,56,54,75,60,47
51,51,55,52,83,48,52
52,47,58,53,90,41,61
53,48,57,53,97,39,41
53,49,56,57,124,49,81
47,48,55,53,133,42,75
46,47,55,51,143,39,82
47,43,54,59,118,33,71
44,43,54,51,106,42,103
42,42,53,47,109,57,108
42,40,52,32,97,59,41
42,42,50,26,85,50,28
41,44,47,36,84,36,46
42,44,47,43,98,49,72
48,46,46,51,99,53,63
50,48,52,42,125,55,60
50,49,56,57,114,54,64
49,51,58,55,117,78,91
46,49,58,54,101,91,93
46,46,59,58,111,79,110
48,45,57,53,129,54,92
46,44,58,52,128,48,82
46,42,56,53,121,36,73
42,45,56,51,104,53,86
43,46,55,51,98,57,64
42,49,53,53,96,59,76
41,48,49,44,101,64,74
47,51,49,56,123,54,65
47,53,49,61,127,57,90
49,56,49,67,117,57,88
49,56,53,66,119,58,119
50,57,53,76,150,75,133
52,55,54,79,187,77,157
55,53,56,74,179,70,123
56,55,59,74,190,61,142
55,53,61,75,197,72,187
55,53,61,63,190,75,158
57,50,61,55,142,62,97
56,50,59,54,132,48,58
51,49,57,45,128,31,46
51,51,56,59,112,29,49
50,50,56,69,110,33,88
47,50,57,64,118,45,90
48,53,55,61,104,56,99
51,54,54,56,99,42,60
52,52,53,52,92,32,47
52,49,52,54,92,34,50
50,51,53,54,97,45,83
48,52,56,61,98,51,101
49,51,58,68,103,55,147
49,49,57,50,98,57,105
48,51,60,53,107,60,107
47,50,60,59,104,60,125
46,50,60,65,108,52,112
46,49,59,67,103,57,109
49,52,58,66,101,66,147
50,51,58,59,103,66,100
51,52,59,53,117,52,72
49,53,58,47,126,45,56
49,51,60,47,138,51,69
51,51,59,58,134,50,80
52,49,63,63,126,69,97
53,47,64,66,115,70,106
50,47,66,51,123,70,100
53,49,66,56,154,81,181
53,48,67,58,168,90,171
54,49,66,52,166,82,144
56,51,65,53,158,82,112
59,51,62,54,168,60,99
60,52,65,65,165,58,101
59,53,66,60,142,74,93
57,52,66,72,138,65,106
56,54,69,69,138,76,103
