"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
45,47,62,34,43,43,14
45,51,63,45,50,61,32
45,49,64,53,70,64,60
44,49,64,53,92,78,101
45,50,60,66,102,79,140
43,51,59,63,118,97,190
40,53,59,51,132,80,114
43,53,58,53,124,55,102
43,51,57,51,95,57,83
47,50,55,44,80,50,53
47,51,55,34,69,43,8
49,52,55,51,83,43,39
51,54,56,55,101,43,56
52,55,56,52,104,38,52
52,56,59,55,96,42,31
50,59,59,52,79,39,22
54,57,62,56,102,54,82
52,56,63,68,113,74,119
48,54,63,72,137,68,164
43,52,63,63,145,69,155
48,50,62,64,157,69,192
43,51,60,63,141,75,148
43,53,57,47,140,57,112
48,52,56,39,130,52,66
46,48,52,33,94,52,48
46,47,50,34,98,37,54
45,47,50,41,99,42,56
42,48,48,30,80,38,33
44,47,48,36,68,52,32
44,45,48,50,69,63,58
42,46,46,50,73,49,63
43,46,46,59,70,43,47
44,47,43,52,72,42,45
48,50,46,55,79,39,47
50,51,48,49,88,46,48
46,53,48,46,83,52,57
48,54,49,49,69,41,46
51,54,48,44,73,26,31
53,52,54,59,93,24,42
54,52,55,67,89,32,39
53,52,60,90,110,63,106
51,51,59,93,132,69,164
53,51,58,83,136,79,153
58,53,60,88,183,74,194
58,58,63,73,202,84,188
62,57,63,69,216,75,151
60,56,65,74,200,88,187
63,55,68,93,219,112,285
62,54,70,86,254,127,397
61,53,70,76,270,122,423
62,51,70,73,281,97,335
67,52,71,73,242,86,235
65,54,77,78,230,89,210
63,51,81,75,243,97,236
63,49,85,70,271,96,281
55,48,80,68,246,106,300
51,49,75,66,266,94,282
50,52,71,59,250,93,224
45,53,65,52,221,65,193
44,49,63,61,166,53,103
42,47,49,57,87,50,63
43,51,45,43,72,52,59
39,54,43,38,62,56,48
39,55,44,38,76,53,52
41,54,44,41,67,50,52
43,55,44,53,72,52,73
47,56,47,67,91,63,110
50,56,50,60,102,55,108
53,58,55,59,126,56,97
55,57,61,60,153,59,91
59,58,66,61,146,68,96
56,57,63,61,109,82,61
55,56,59,66,117,81,84
56,56,58,69,112,69,87
57,56,62,72,113,64,73
60,55,67,74,146,81,109
61,53,69,71,162,88,155
64,50,75,63,193,87,184
61,51,74,67,184,74,115
57,52,77,74,162,68,111
56,54,76,71,140,72,127
54,57,74,75,133,77,151
53,56,71,85,127,64,122
50,57,70,73,119,64,121
50,56,63,60,102,53,76
47,53,56,45,108,46,59
44,52,48,50,82,36,49
44,51,47,43,67,34,37
44,50,44,36,52,38,32
44,52,42,40,54,41,30
43,52,39,41,57,41,44
42,51,38,42,63,37,58
41,46,40,39,69,28,58
41,46,40,40,59,26,43
40,49,41,40,59,35,48
44,48,44,40,64,33,49
46,46,50,34,64,34,24
47,44,51,30,67,35,16
46,44,52,32,89,31,27
44,43,55,40,78,29,37
38,44,56,34,75,31,43
42,45,57,40,82,39,48
39,49,55,31,59,41,31
41,49,56,32,59,47,34
43,49,59,47,93,71,84
46,50,61,61,129,73,133
48,50,64,59,141,74,117
49,50,61,76,137,61,105
52,51,56,85,141,65,149
49,47,60,91,144,91,253
51,47,55,89,184,90,321
51,48,55,74,183,79,218
54,50,57,65,173,72,172
57,48,52,69,155,62,135
55,47,52,66,138,58,99
57,47,54,57,155,59,116
59,46,56,69,188,66,162
56,46,55,74,190,70,192
53,47,51,50,148,56,125
52,45,58,34,124,52,50
52,46,57,43,122,61,61
54,45,57,42,118,45,59
49,44,58,42,116,41,60
47,44,50,45,109,42,67
42,45,48,51,105,45,69
42,48,43,46,114,55,88
41,45,38,36,78,45,60
41,51,36,48,48,40,57
45,53,40,49,50,49,39
48,57,44,53,65,54,59
52,58,46,70,86,40,88
53,61,52,80,122,57,138
60,60,59,96,207,73,185
60,56,69,85,260,86,219
60,56,73,90,271,102,310
58,58,77,78,254,114,227
60,57,77,78,251,113,266
57,58,71,85,232,98,255
58,60,71,80,220,85,199
58,56,70,65,215,77,153
58,55,69,69,203,63,121
56,55,73,67,185,70,100
54,55,73,46,182,85,86
50,52,72,52,167,83,115
50,56,70,68,136,83,127
50,58,64,66,124,93,135
50,58,63,57,99,86,98
