"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
42,56,54,29,41,41,8
42,55,51,32,36,38,15
41,54,52,36,36,46,20
41,57,52,44,41,46,34
44,59,50,53,46,47,42
40,58,52,52,50,56,37
46,57,52,62,72,72,74
53,56,57,65,89,74,103
56,55,56,64,94,74,97
62,52,57,71,97,77,104
61,54,61,77,140,71,116
62,54,62,87,185,72,158
60,55,61,63,185,67,110
60,54,62,68,174,86,145
63,54,63,79,150,93,148
58,53,65,74,147,98,142
51,53,66,75,155,98,200
44,52,64,63,175,76,217
43,54,63,62,192,85,290
46,52,57,50,177,75,200
46,56,58,51,133,76,96
44,57,56,56,114,74,98
44,53,55,46,104,58,56
46,53,51,40,110,46,82
43,54,49,53,100,52,114
46,55,46,58,93,55,99
45,57,43,57,109,37,69
47,55,44,60,95,26,45
47,56,45,57,85,38,44
49,55,46,59,98,38,62
50,56,47,54,103,42,55
49,56,48,57,95,52,72
50,56,46,66,100,56,73
51,55,44,73,103,46,63
51,59,44,63,96,37,42
51,58,43,59,92,34,38
50,62,44,69,83,37,31
53,60,46,70,77,52,45
56,61,46,79,91,59,73
59,62,50,81,106,55,74
60,59,51,66,137,52,72
60,60,55,76,169,60,100
60,60,54,53,170,51,57
59,59,58,54,152,38,56
56,59,60,59,109,54,63
54,58,64,63,111,70,76
54,59,64,80,119,87,121
55,60,65,82,125,78,136
57,59,67,70,151,65,122
55,58,67,67,174,59,135
55,57,67,63,167,44,78
50,57,69,64,141,33,46
52,59,69,79,141,48,91
53,56,64,83,110,53,95
54,53,62,70,122,55,105
53,53,61,65,140,52,71
52,52,65,63,148,46,70
53,53,65,57,159,61,90
53,53,65,60,136,55,81
52,52,62,60,115,56,67
52,49,61,56,96,56,65
49,51,61,67,94,51,68
49,50,61,73,115,65,94
49,51,62,74,135,69,113
49,52,60,76,164,80,169
50,52,60,88,193,85,268
51,48,61,85,205,108,347
51,50,61,76,218,108,364
52,54,64,63,213,88,252
54,51,67,64,229,65,154
57,53,71,80,235,66,147
61,52,77,77,293,78,164
63,54,79,78,306,77,175
63,54,81,74,293,77,122
62,55,80,95,273,72,157
56,55,78,107,217,88,256
54,58,73,115,237,103,422
54,53,68,118,234,91,419
52,53,61,113,216,99,378
52,53,56,108,210,92,269
53,51,54,95,211,81,228
54,53,55,96,193,79,186
53,52,55,86,211,88,259
49,48,54,79,217,87,304
50,46,55,70,218,76,262
50,45,54,57,204,59,120
49,47,55,39,224,40,56
49,48,53,52,221,47,67
49,47,53,61,221,76,220
53,49,57,65,210,89,261
52,49,61,61,186,95,196
50,50,56,55,169,91,152
49,50,57,52,177,78,106
50,50,56,51,166,64,68
46,50,57,47,134,59,81
49,50,61,49,134,74,120
47,52,62,58,121,75,95
43,52,63,58,157,70,101
44,53,63,58,169,66,165
44,56,61,38,161,55,96
46,56,56,37,142,52,73
51,56,54,38,119,40,49
55,58,62,44,105,46,28
57,55,65,52,95,64,49
56,52,68,66,128,66,94
54,57,64,64,133,58,87
53,58,63,57,169,57,93
55,57,66,64,209,67,168
58,57,71,65,260,61,169
63,62,74,77,252,56,171
66,59,78,70,230,62,120
64,58,81,71,221,68,112
69,57,84,61,220,66,91
64,51,86,51,217,63,88
64,52,87,59,196,58,85
60,50,88,63,140,70,71
57,46,83,59,111,66,81
50,44,81,62,118,70,103
47,43,76,48,139,74,118
47,43,68,44,152,62,126
43,44,64,36,148,67,117
42,43,60,39,134,61,96
43,46,54,45,127,45,75
42,46,46,35,111,40,65
43,46,45,28,116,40,57
44,48,46,31,96,44,47
44,45,46,41,83,44,39
47,46,44,37,74,39,9
45,45,46,35,61,40,25
45,46,47,31,59,44,37
47,47,49,43,72,54,56
46,48,49,54,79,49,61
45,51,52,51,86,48,70
46,54,53,55,72,46,46
45,53,53,52,67,53,54
42,52,52,50,63,62,70
43,54,52,56,74,65,69
45,57,47,54,82,53,67
46,59,47,49,80,42,35
45,66,46,52,93,46,50
