"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
47,52,50,27,29,42,10
47,55,52,47,38,45,20
48,57,50,58,58,47,51
49,57,49,62,62,63,76
56,55,49,67,87,61,94
60,55,48,63,103,62,98
63,55,54,64,108,61,71
63,56,60,63,131,65,84
59,54,63,65,146,65,103
59,52,63,74,132,71,103
56,53,60,75,142,71,126
56,51,60,75,160,72,159
49,48,57,83,141,77,221
48,47,58,63,133,83,179
45,48,55,65,130,67,155
45,50,53,42,123,45,79
44,51,50,45,122,39,75
45,47,49,48,91,45,57
46,49,49,46,97,45,54
47,49,53,50,117,59,77
46,48,52,55,120,45,80
44,47,58,45,122,42,72
45,48,58,47,108,48,72
45,48,55,49,96,49,55
45,48,52,46,101,59,90
41,48,53,40,103,46,51
39,49,49,45,87,30,33
45,48,53,46,101,28,29
47,47,54,47,118,24,27
50,45,58,51,109,33,47
46,44,59,50,95,45,65
45,47,59,46,84,50,60
45,49,55,44,70,38,43
46,50,52,43,67,40,31
43,50,50,43,88,50,72
45,51,47,45,132,45,98
47,50,45,56,198,51,220
48,47,44,49,248,50,261
47,47,42,42,256,39,152
46,47,44,41,192,17,30
43,47,45,47,148,15,21
42,46,43,54,135,18,46
41,47,41,43,126,17,31
41,51,42,42,105,19,20
47,54,45,47,104,22,33
53,57,45,51,111,32,69
58,55,49,63,146,47,161
60,55,52,61,157,66,192
57,55,55,55,155,53,115
58,55,56,64,161,43,64
59,52,58,67,154,36,58
57,50,58,66,129,45,73
55,50,56,65,122,53,93
55,51,59,77,142,62,123
54,52,60,71,143,64,135
53,53,64,60,158,65,115
58,52,64,58,172,67,132
60,53,67,70,192,70,163
55,54,68,60,159,77,150
55,54,74,60,146,86,130
53,53,78,69,147,70,102
48,51,71,59,133,62,122
46,53,76,57,140,69,115
48,52,73,50,161,70,102
45,51,70,52,135,62,73
44,49,65,44,118,42,56
43,47,60,41,94,34,50
38,43,51,42,70,29,32
34,45,46,40,56,37,37
39,46,42,40,66,42,34
40,48,41,51,72,47,62
38,48,40,42,76,36,59
40,47,39,37,81,30,58
38,46,38,40,74,38,50
37,44,39,36,66,39,40
34,45,40,39,49,37,39
31,46,39,44,43,33,54
28,48,37,37,38,33,34
32,48,39,30,46,35,20
32,49,41,25,56,33,18
36,55,43,36,65,32,40
38,56,55,59,79,45,78
41,54,60,64,98,64,130
43,57,60,72,100,73,142
43,54,62,66,104,69,127
44,51,60,72,96,78,138
44,50,54,59,92,68,134
47,47,53,54,110,50,120
45,47,52,51,130,55,116
46,45,51,55,119,62,121
48,46,50,54,104,59,86
47,45,52,49,92,54,66
46,47,52,50,84,50,60
48,47,53,52,100,59,83
46,48,58,48,117,66,77
48,47,56,39,132,55,75
45,43,54,41,120,45,59
44,43,53,47,91,32,37
45,44,48,43,80,34,38
45,45,48,38,70,31,25
42,45,49,35,71,35,30
41,43,48,32,73,40,45
37,42,49,24,70,38,36
36,39,44,23,60,26,26
34,40,35,23,40,22,20
33,42,40,23,49,28,16
32,40,43,21,60,35,12
34,42,39,22,50,17,8
34,43,38,22,35,19,16
33,48,37,23,25,31,14
35,44,35,25,21,27,10
39,42,35,29,26,17,13
40,44,35,30,25,19,11
40,47,34,37,33,29,18
41,48,37,49,35,31,35
45,48,44,45,85,37,42
45,44,53,21,125,18,5
45,40,57,21,164,21,4
49,39,63,24,158,24,8
47,43,69,31,111,41,26
41,44,65,29,92,45,29
43,42,69,39,112,65,85
44,41,62,43,96,35,51
39,39,61,30,56,40,32
37,37,61,24,47,37,16
37,39,52,27,54,29,18
38,41,54,29,53,27,14
38,42,49,37,49,33,25
39,42,46,42,45,36,38
41,41,45,38,39,40,16
41,39,44,36,35,37,14
42,39,48,42,51,30,18
43,40,50,40,86,33,35
45,41,52,48,125,41,101
44,42,55,53,132,50,110
45,45,53,59,122,44,94
42,47,55,57,126,40,75
47,45,55,58,117,40,69
49,46,53,62,108,51,80
46,49,57,64,115,66,94
48,51,59,65,118,74,134
48,53,59,77,140,79,211
47,52,56,73,149,88,257
47,54,55,70,172,74,219
50,55,56,65,148,54,89
50,53,58,84,133,48,111
49,54,60,79,136,61,133
50,50,62,74,158,62,110
54,51,59,80,169,70,134
55,52,60,72,190,77,148
54,51,64,67,221,81,207
57,52,63,65,224,59,126
57,51,65,55,203,56,60
56,50,67,42,170,43,21
52,54,70,53,100,80,59
55,55,60,60,83,66,83
53,51,57,65,91,55,91
49,51,59,60,94,52,74
49,53,60,79,93,54,83
45,51,59,64,91,63,101
44,51,62,59,95,69,86
44,51,58,57,92,60,66
39,51,62,49,78,56,44
42,50,58,62,85,59,52
49,51,59,84,110,69,125
53,47,64,79,166,79,217
51,47,69,68,192,90,231
47,47,72,68,177,83,182
46,46,71,53,199,77,141
48,45,66,35,233,67,141
52,43,63,40,251,68,195
49,42,62,41,221,58,146
47,44,62,44,177,50,121
49,47,61,49,158,44,93
51,47,57,54,175,47,93
49,49,60,54,169,56,82
49,49,65,56,171,67,109
49,50,63,68,172,75,173
51,49,64,57,176,42,60
50,53,61,67,193,59,193
49,52,62,77,223,71,224
55,54,62,81,237,66,179
57,54,64,102,215,74,216
61,57,66,119,224,87,314
65,59,76,124,351,115,552
74,62,83,158,492,130,956
75,61,90,154,518,147,887
76,59,90,117,553,136,575
77,54,89,104,571,105,624
78,52,91,98,550,114,710
79,53,93,93,495,116,576
76,52,94,77,415,89,296
69,50,94,74,373,62,118
65,50,95,68,334,60,108
65,49,91,64,245,63,100
63,46,90,65,186,65,98
61,46,88,58,167,75,96
54,47,87,61,192,82,129
51,48,86,67,189,82,162
50,51,78,66,190,86,143
