"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
52,56,39,56,26,35,15
53,58,41,66,35,32,23
54,56,41,64,47,35,40
53,56,39,63,50,42,43
51,57,40,64,48,48,39
54,56,41,63,58,47,50
56,57,44,72,64,44,60
57,55,43,78,56,36,31
60,55,41,71,52,34,32
61,57,40,78,58,39,53
60,58,42,100,73,42,85
59,59,44,91,86,56,107
62,56,46,101,113,72,176
64,55,47,110,162,69,210
62,53,48,97,193,73,266
62,51,47,81,183,54,143
60,55,44,74,151,42,91
60,57,46,67,114,35,100
54,55,46,56,86,27,70
56,56,43,67,88,29,78
59,58,38,57,89,34,64
61,60,39,73,112,32,84
64,62,40,69,150,37,107
64,60,41,58,154,36,68
67,61,44,67,182,43,89
69,60,48,74,198,50,135
68,56,50,77,175,52,125
71,57,52,74,157,52,104
72,53,50,76,154,47,105
74,51,49,89,170,37,100
74,52,53,97,180,56,120
74,53,57,102,210,55,109
74,50,61,96,219,45,111
72,53,62,91,221,46,108
71,52,61,68,210,49,86
71,52,61,64,189,48,56
65,51,56,78,123,31,49
59,50,47,75,89,46,71
59,50,42,57,97,46,64
59,52,38,51,106,34,57
56,52,40,65,85,35,49
56,52,40,58,73,28,26
53,54,40,56,73,36,43
53,53,37,61,92,42,81
51,51,37,54,105,37,96
52,51,36,55,111,34,76
52,50,34,56,94,27,48
52,50,36,60,90,18,37
52,50,35,73,66,22,33
51,47,37,81,56,26,35
53,48,33,78,58,29,44
55,50,35,74,89,48,84
56,46,35,66,96,55,105
56,50,37,73,115,45,128
54,52,38,69,153,46,175
53,51,37,70,191,47,207
55,52,38,69,179,50,194
56,53,38,65,149,51,172
58,51,38,67,136,45,138
59,53,43,71,135,45,134
62,52,48,65,142,51,103
66,50,52,62,136,59,98
67,49,55,67,171,51,90
66,54,57,73,151,55,112
70,52,58,69,135,61,110
71,52,62,74,132,55,82
72,54,62,85,137,57,100
75,55,64,100,156,62,120
77,55,61,113,156,72,131
75,56,60,94,149,78,153
71,55,59,93,145,82,150
68,54,58,85,140,60,117
70,53,52,88,138,48,106
69,54,49,70,142,48,98
69,54,45,60,136,37,45
68,53,42,58,112,32,43
