"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
44,34,37,33,17,16,8
45,31,37,33,19,24,14
43,30,36,36,33,26,25
40,31,37,45,46,26,30
40,33,37,41,51,24,32
38,33,37,33,59,23,20
37,33,35,24,49,22,21
31,33,35,20,41,15,14
30,33,36,17,39,20,23
31,32,31,21,40,17,23
31,32,32,29,45,27,28
31,33,32,22,42,29,26
33,36,31,21,41,25,24
32,35,32,33,54,30,42
31,34,31,42,51,35,47
33,36,28,43,49,25,45
36,41,27,45,51,28,41
40,42,29,36,49,27,32
45,43,33,38,66,24,31
49,42,33,42,75,34,42
50,47,38,44,72,27,37
50,49,39,55,81,35,41
47,49,44,60,96,39,54
52,48,44,48,100,40,40
50,47,45,44,96,44,53
50,44,45,39,81,47,45
49,46,42,32,79,38,38
45,45,40,32,65,33,31
42,46,38,41,54,16,29
42,44,37,36,35,20,23
40,45,36,40,33,28,30
43,46,34,40,38,34,26
43,49,32,42,41,25,19
41,52,33,58,38,16,20
39,51,33,57,37,17,18
41,51,32,61,36,25,24
43,48,33,49,31,36,22
46,47,32,33,39,27,11
43,48,31,36,46,25,22
47,48,33,39,48,14,11
48,47,32,35,42,20,17
50,47,31,48,37,29,38
51,49,33,62,45,31,58
56,48,40,66,87,30,66
60,46,43,71,111,29,61
57,47,41,57,89,34,41
54,45,38,50,71,29,33
53,45,38,48,73,20,20
56,42,38,46,81,19,50
56,50,39,47,83,23,43
60,47,41,44,81,25,30
62,47,41,65,77,20,27
64,48,45,63,76,25,28
59,47,51,71,73,37,50
58,48,56,70,93,56,66
59,46,52,52,123,53,67
56,47,52,61,114,46,68
55,45,46,62,95,41,72
53,47,44,49,84,33,49
49,49,43,36,79,26,31
47,49,43,36,63,33,25
44,47,42,40,51,29,20
47,48,42,39,63,31,33
47,46,42,47,61,37,48
48,50,41,56,59,40,48
51,53,38,59,56,33,38
51,54,40,68,62,37,40
53,58,43,66,75,45,62
53,56,42,66,92,43,77
55,53,42,59,88,36,51
54,50,41,58,81,23,33
54,51,42,49,69,29,32
53,47,41,55,48,31,27
52,48,41,64,59,36,40
51,49,41,52,61,35,34
47,47,44,49,61,26,29
52,43,45,45,78,26,49
50,39,42,41,70,30,30
47,42,39,50,72,28,39
47,45,45,49,85,42,47
46,47,47,48,87,40,50
49,48,44,46,100,42,73
51,48,45,48,108,41,70
53,47,46,51,118,44,43
50,45,47,51,109,38,44
50,46,44,42,88,41,27
51,49,44,46,71,32,22
54,49,44,55,64,37,23
57,48,44,40,72,37,6
58,46,45,57,83,47,45
60,49,47,49,111,45,39
57,49,48,48,121,25,26
57,52,46,51,104,30,33
59,52,47,64,113,40,45
59,53,47,64,86,46,47
61,52,46,52,98,59,69
62,50,49,59,109,59,118
62,50,49,60,116,41,95
61,51,49,64,102,49,71
59,52,52,60,92,42,38
57,54,52,69,103,42,67
59,57,52,79,104,49,68
64,57,53,88,115,56,93
64,54,54,81,107,72,105
62,53,53,68,131,66,121
61,55,55,70,125,65,123
60,51,55,63,114,61,94
