"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
34,50,50,22,25,40,10
35,53,51,30,29,47,19
34,51,48,30,34,44,20
36,52,43,28,36,45,39
36,50,39,32,47,51,45
40,50,39,48,53,40,45
43,50,37,54,67,38,54
45,50,37,61,76,39,58
46,50,38,51,94,48,75
44,50,41,47,81,49,48
44,47,42,53,77,43,42
46,50,43,56,81,47,49
48,48,43,46,78,50,56
47,48,43,52,75,43,67
46,49,43,55,86,43,81
44,49,45,51,97,47,76
42,50,45,42,96,42,49
39,50,49,33,91,47,41
37,49,50,35,74,43,39
37,49,51,43,73,48,60
39,47,49,44,89,51,62
41,48,51,45,84,39,42
42,49,50,42,77,35,28
43,51,55,45,85,37,42
45,50,59,57,100,50,73
45,49,56,50,108,56,79
43,52,58,44,110,60,56
41,51,58,44,120,47,54
39,50,55,43,118,56,57
40,50,52,42,122,58,69
39,50,52,45,105,46,71
40,50,50,41,94,36,50
47,52,47,50,93,39,69
44,55,49,66,126,52,144
43,56,52,64,140,52,100
41,52,51,50,114,33,33
44,52,46,42,115,20,15
42,51,44,47,90,21,14
41,52,41,53,71,22,16
42,52,42,57,82,24,48
45,49,42,50,92,21,40
48,49,43,47,92,24,26
47,49,45,49,97,25,47
46,50,44,45,91,33,54
45,51,46,41,87,36,27
45,50,45,39,87,33,20
48,50,46,39,92,24,26
48,47,45,50,84,30,77
49,46,44,43,86,36,63
49,47,45,45,83,39,39
47,49,47,50,84,34,47
47,48,51,49,110,42,61
49,46,56,47,130,38,82
43,47,55,42,99,39,49
38,45,54,31,59,33,20
35,43,47,28,57,28,23
34,47,47,37,53,26,22
35,46,43,30,55,22,21
33,46,39,26,48,28,11
36,48,36,29,45,29,16
35,48,39,34,55,35,19
36,52,33,36,52,37,40
37,52,34,44,61,39,59
40,55,35,55,56,56,77
43,50,39,56,70,50,97
50,46,43,58,103,39,85
52,47,47,63,142,47,128
53,48,55,73,170,57,145
55,49,60,93,204,75,201
55,48,63,104,266,98,413
59,50,68,110,372,144,817
58,47,72,110,461,143,1039
58,47,71,104,506,133,1155
56,48,74,83,450,130,933
57,49,73,66,375,118,663
57,51,74,63,314,108,512
58,55,74,68,279,100,421
53,53,74,74,268,89,358
51,53,74,80,269,93,345
48,49,73,81,279,90,416
43,49,74,73,299,113,598
42,51,69,83,366,120,747
45,50,69,79,407,110,591
47,50,69,67,406,95,467
46,49,68,73,375,78,394
40,49,69,51,270,70,220
39,49,70,47,215,70,157
38,47,57,37,140,53,74
33,47,54,29,73,51,45
32,47,49,36,51,54,43
34,46,43,41,57,53,41
33,47,41,42,60,56,72
33,46,41,42,73,54,116
31,45,42,35,74,40,86
30,47,39,41,60,39,50
30,49,37,29,46,38,35
30,50,36,34,50,47,65
27,51,34,33,50,47,84
30,52,36,38,56,46,64
34,52,35,43,68,34,42
36,48,36,46,61,32,33
35,47,44,44,60,37,28
37,46,43,46,47,36,28
34,48,44,43,49,40,24
31,49,46,42,52,41,26
29,51,43,36,35,24,8
30,50,36,39,38,27,19
37,53,35,48,37,21,25
39,53,36,51,37,36,32
42,55,37,52,38,44,50
40,57,37,53,47,40,46
46,58,35,76,76,40,89
50,58,39,79,111,44,134
56,60,46,76,168,36,178
55,64,48,86,186,44,232
57,65,51,120,198,67,395
54,63,53,123,214,93,416
56,61,56,91,232,74,239
57,60,58,70,189,57,118
59,61,59,69,186,50,102
54,60,60,59,169,55,124
50,59,59,53,134,59,96
54,60,57,51,126,65,82
53,62,57,57,122,65,87
53,61,57,51,123,58,70
51,60,59,63,133,53,93
48,60,61,64,138,70,148
46,61,61,65,138,77,132
48,61,61,70,142,81,122
48,61,62,62,130,68,102
49,62,61,58,105,59,64
50,59,59,68,86,71,76
49,59,60,60,87,69,66
48,58,59,55,92,72,75
45,60,60,59,99,84,111
46,61,59,72,100,97,141
47,58,58,83,145,85,212
45,58,58,78,182,82,227
43,63,54,68,180,71,175
46,65,56,62,156,70,119
47,66,58,51,112,68,65
