"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
45,45,49,34,34,35,15
45,45,49,43,29,34,15
45,47,47,47,29,36,18
39,44,46,46,33,37,24
42,45,49,42,44,34,23
42,44,47,46,41,38,25
39,42,48,34,38,43,19
37,42,46,40,49,46,31
37,43,45,45,54,47,55
37,43,47,42,68,49,76
36,43,43,32,81,40,65
39,45,44,31,75,45,53
39,47,44,36,63,47,39
39,48,42,40,77,53,76
37,49,46,43,82,59,119
39,48,47,51,99,68,155
41,48,52,54,104,68,113
43,49,48,56,105,58,80
43,50,50,57,107,38,67
45,49,52,50,114,38,64
47,47,51,47,111,42,66
50,48,52,46,101,46,78
48,50,55,57,94,53,82
48,48,61,47,113,44,44
50,50,62,43,118,35,45
53,50,66,55,154,47,85
58,49,69,56,185,46,79
61,50,76,69,208,58,98
65,50,76,86,219,75,138
63,50,76,75,218,80,175
56,48,72,73,233,95,261
55,46,71,61,236,110,303
54,44,68,65,219,136,405
49,43,66,81,191,146,512
50,42,67,74,210,129,462
46,45,67,65,217,105,312
44,45,69,46,245,78,130
43,44,69,51,265,57,115
45,45,71,41,236,60,79
45,48,71,36,214,52,52
47,48,72,42,191,38,39
47,48,76,58,161,49,71
48,51,77,67,147,76,155
51,51,80,66,164,101,191
53,52,81,73,200,111,190
55,55,83,58,183,98,86
56,55,85,45,187,100,102
56,55,85,54,178,95,115
59,55,85,55,193,86,133
58,54,84,39,213,66,60
58,50,83,43,168,62,54
61,48,85,58,146,49,42
61,45,87,51,127,48,52
59,46,86,54,106,53,50
51,46,79,62,104,56,59
51,45,78,56,122,61,65
49,45,74,63,145,74,134
51,46,72,49,183,74,152
52,46,72,50,194,48,48
52,47,71,48,164,48,78
55,46,72,51,170,52,85
55,43,72,50,153,37,57
56,44,72,65,133,40,50
56,41,72,68,140,65,121
55,44,72,59,155,64,105
50,45,71,56,136,61,80
54,46,67,60,115,47,64
53,47,69,63,113,53,75
52,45,70,66,125,56,111
53,46,67,70,144,60,147
56,46,68,68,147,70,155
53,46,68,58,159,73,181
52,46,62,56,171,76,246
50,48,60,49,133,76,131
48,48,62,60,117,67,114
50,50,62,61,119,68,153
47,46,60,52,103,61,142
45,44,56,51,109,71,158
45,46,50,66,129,70,215
44,44,51,57,158,55,158
43,45,50,61,172,57,172
42,42,47,60,180,71,294
42,42,48,50,183,69,218
42,42,48,52,175,54,154
41,43,52,56,161,67,177
40,43,56,41,155,60,123
40,42,54,32,134,44,49
32,40,50,27,89,32,28
37,42,51,35,89,30,31
36,41,51,48,69,24,34
38,40,51,55,61,34,41
41,41,51,49,79,43,52
44,37,54,48,114,44,82
45,38,55,45,118,41,74
40,38,55,38,110,34,54
40,38,54,37,113,29,68
40,40,52,37,83,30,40
41,39,50,39,71,31,40
42,39,51,40,63,31,28
44,37,51,43,67,30,31
44,39,51,42,78,41,48
48,39,46,41,100,39,48
50,40,45,55,131,35,90
51,42,40,63,88,47,73
55,40,42,83,100,52,99
52,42,45,71,116,63,122
48,41,41,61,104,55,91
48,43,43,61,115,48,82
46,48,44,50,125,46,72
48,48,46,57,124,60,137
55,48,51,64,168,64,124
56,50,55,64,206,70,207
58,49,60,61,226,59,152
59,51,63,57,203,48,82
60,51,66,63,186,45,72
61,46,69,74,146,55,72
60,46,71,76,146,56,119
59,45,73,62,174,67,119
58,45,75,58,216,75,96
53,45,78,61,208,68,128
53,45,77,66,198,69,137
53,42,77,52,169,55,110
52,41,75,53,157,51,100
51,41,76,49,133,61,102
49,42,74,37,140,69,64
47,39,72,27,136,63,43
47,42,71,43,130,61,67
46,44,68,47,122,49,75
43,46,65,40,123,66,106
44,49,65,43,161,73,184
45,48,63,46,160,71,147
50,48,62,49,141,60,57
50,51,64,47,117,54,29
54,52,64,63,117,50,59
52,53,64,69,119,52,98
50,52,59,53,116,47,76
49,52,61,48,130,52,67
47,51,62,39,121,40,31
49,52,59,40,112,34,33
52,50,64,44,109,36,46
51,51,68,44,101,64,67
52,50,66,41,118,76,87
53,48,66,42,155,56,85
52,46,66,53,175,32,74
53,48,72,73,156,42,82
51,48,75,52,140,66,75
48,51,76,59,173,85,112
47,50,79,61,213,107,213
44,50,77,51,220,94,223
45,46,76,47,246,69,149
45,47,78,49,192,50,51
42,46,70,45,139,60,65
40,45,68,45,148,66,111
40,44,67,44,157,74,152
38,43,67,40,182,81,173
33,43,62,38,174,72,178
31,43,61,39,165,65,100
32,44,56,40,116,59,61
34,46,52,49,82,64,54
38,45,53,48,90,80,91
38,44,54,51,97,80,103
39,42,55,57,96,84,126
42,42,54,57,112,83,152
45,46,55,59,133,74,131
46,45,58,52,127,58,94
47,44,62,40,116,46,53
52,50,69,56,120,57,85
54,52,73,59,145,72,110
56,50,76,55,173,73,92
54,50,73,69,168,70,105
58,52,80,80,217,97,204
58,52,84,78,250,98,211
57,52,83,73,276,103,211
58,52,80,62,283,93,171
60,53,82,63,249,78,154
61,55,83,63,234,69,123
60,55,78,74,226,71,156
62,54,79,73,197,83,189
59,55,75,76,181,88,156
57,54,73,66,186,78,110
58,53,75,55,178,82,116
61,55,76,53,184,71,105
59,53,76,52,182,57,80
60,53,79,60,188,60,87
57,52,81,56,166,69,92
58,55,82,64,194,89,145
61,55,84,87,233,106,236
62,54,85,106,251,117,310
61,54,86,90,281,127,373
62,56,85,88,310,131,360
61,57,87,95,304,123,341
62,55,86,85,290,93,279
62,53,86,83,264,90,213
62,53,85,74,226,81,129
63,51,88,84,218,92,157
64,49,90,84,250,127,299
64,49,91,80,270,120,322
64,49,91,73,296,127,422
58,51,93,67,306,132,359
61,50,94,69,339,133,377
