"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
36,53,45,29,31,29,18
34,52,45,25,27,33,14
35,52,46,33,36,37,18
35,48,48,35,44,37,22
34,49,49,38,55,38,31
36,50,52,30,57,43,28
34,51,52,34,60,45,68
36,50,48,46,59,39,64
39,52,47,54,52,38,44
39,55,46,55,50,46,64
37,56,45,61,60,49,74
38,59,47,62,82,47,101
41,58,49,70,110,44,113
44,56,49,62,91,50,101
45,55,50,47,78,49,60
44,53,55,43,78,46,56
39,56,55,49,79,42,65
39,57,53,54,70,44,47
39,57,55,44,61,51,31
39,55,55,38,67,50,31
38,55,52,41,61,50,42
39,56,53,39,77,50,47
38,54,49,41,77,42,52
38,52,49,47,80,36,47
36,53,48,44,58,52,42
37,54,46,40,60,67,55
38,54,43,49,60,72,86
41,53,47,42,58,60,43
39,57,48,36,60,52,33
38,57,50,42,50,45,35
39,58,51,52,63,59,89
42,55,53,56,71,86,160
43,54,54,57,79,78,118
41,51,57,53,82,50,65
38,49,55,48,65,41,32
36,51,54,42,56,43,26
37,49,50,42,54,51,46
36,49,46,47,54,54,58
38,50,46,47,61,58,65
36,49,47,43,85,66,76
39,49,46,54,97,68,121
40,48,47,57,108,54,111
40,50,47,57,85,47,66
40,52,49,56,69,46,66
38,52,48,70,62,62,70
38,51,51,65,71,76,89
38,51,48,58,104,70,125
38,51,46,47,128,45,88
37,48,49,33,115,19,27
36,52,50,32,76,22,25
31,55,46,29,44,26,19
33,57,45,29,50,35,31
37,56,45,36,58,35,34
35,58,43,39,49,41,34
35,59,38,42,33,47,21
37,62,34,58,36,40,29
36,63,31,57,41,26,36
38,60,36,45,59,23,26
38,59,44,39,69,36,41
40,57,49,40,82,39,30
33,53,48,48,52,54,62
33,53,50,37,54,50,33
31,51,47,29,43,40,16
31,51,47,30,37,48,24
32,52,48,41,41,54,39
35,52,48,42,51,63,60
37,51,54,52,79,66,92
38,51,51,60,92,59,92
41,50,48,61,123,62,155
39,54,49,60,141,64,155
37,56,48,54,115,67,119
35,58,46,48,102,64,99
37,60,47,48,91,60,84
38,59,45,54,86,63,106
44,60,47,59,102,65,108
47,59,48,72,127,52,113
46,57,50,82,94,50,84
44,55,51,61,102,73,134
45,54,53,53,114,70,130
44,52,56,50,111,66,81
41,51,55,42,137,59,85
41,50,57,44,173,58,124
39,53,59,50,161,67,142
38,55,60,46,142,81,184
40,54,59,49,142,88,200
39,53,54,48,144,89,221
37,52,54,44,178,88,203
38,50,58,48,230,81,253
37,51,59,44,255,61,143
35,52,58,43,222,53,114
36,55,57,46,165,55,107
36,58,55,38,132,57,71
37,57,53,36,130,50,46
40,59,53,43,143,54,97
43,59,56,46,127,54,124
42,59,57,66,117,44,131
47,61,58,71,122,53,123
50,61,59,56,138,63,108
50,57,63,59,145,57,64
50,56,63,59,120,57,67
48,56,64,52,104,60,71
46,56,65,47,90,50,46
46,57,64,48,80,49,34
45,60,65,55,99,59,66
41,59,65,45,118,71,93
39,55,66,49,121,80,92
39,52,63,56,127,64,100
40,53,58,52,148,46,109
41,51,55,54,135,47,98
41,51,55,51,102,50,55
43,56,54,49,80,63,84
42,56,59,49,93,71,98
41,57,59,47,111,75,110
42,57,59,47,103,83,98
42,60,57,61,99,89,127
41,58,57,60,115,92,160
