"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
57,50,52,44,44,34,14
58,52,56,52,50,41,22
60,53,54,71,67,45,44
61,52,50,66,77,56,61
59,54,46,78,85,58,81
64,55,47,70,103,55,85
68,59,53,77,121,52,103
67,58,54,79,97,51,76
65,57,57,75,92,56,78
62,61,63,61,103,73,68
64,62,62,78,96,69,79
61,59,61,89,78,57,64
64,56,64,78,86,62,82
68,57,66,79,125,66,79
70,58,64,78,143,65,70
72,57,65,72,138,56,49
72,55,67,64,131,59,62
72,54,69,87,118,64,86
70,54,70,103,132,81,133
69,50,72,98,173,89,169
64,50,70,82,181,78,107
63,50,67,92,159,71,124
62,51,66,79,160,70,112
59,51,66,84,148,82,155
60,49,67,81,127,80,130
59,51,69,60,129,80,107
56,52,65,59,110,64,69
57,55,64,56,109,64,74
54,63,67,61,134,60,97
55,61,70,65,151,60,69
56,62,69,68,145,55,59
58,62,72,74,134,46,59
57,61,73,77,136,44,74
57,60,69,79,133,49,96
56,59,70,63,130,56,96
57,59,67,71,102,57,101
58,58,65,85,103,60,98
56,56,59,83,122,64,171
54,59,59,86,145,79,237
57,59,52,88,142,73,241
56,57,50,88,129,78,187
55,53,50,86,146,86,197
56,55,49,86,158,73,221
52,55,50,82,164,72,216
55,53,52,88,191,64,237
58,51,53,89,213,70,294
59,51,50,80,216,69,236
58,53,49,72,216,59,134
59,51,45,81,206,57,142
60,51,45,90,172,62,174
60,51,50,99,166,71,209
60,55,48,109,170,73,238
62,54,48,97,173,66,206
63,55,47,92,161,62,173
68,56,51,90,156,45,97
67,54,55,81,164,38,72
65,54,58,59,158,48,79
70,50,62,66,170,54,110
69,50,65,65,153,54,95
69,51,62,65,169,54,118
62,54,60,75,161,65,138
63,55,60,69,182,61,106
63,59,62,64,189,60,122
66,58,65,66,173,64,114
62,57,66,65,150,70,90
63,55,63,51,146,48,60
57,54,59,50,117,39,45
55,54,49,55,89,32,40
54,52,47,58,82,41,71
51,53,45,58,88,41,57
54,56,45,71,109,51,88
56,52,44,64,112,52,90
55,53,42,68,108,49,61
56,52,44,62,109,41,61
54,52,45,80,88,43,86
52,54,42,86,81,50,109
56,54,42,80,101,57,135
54,57,44,111,129,63,249
54,56,45,121,156,80,437
57,59,50,100,201,90,443
61,58,54,83,197,79,244
62,57,59,73,204,66,142
60,58,60,72,187,58,118
58,57,61,73,162,51,92
58,58,59,71,121,56,53
56,58,60,78,100,57,68
55,58,56,87,93,69,109
58,57,55,91,109,81,116
64,55,53,78,129,65,97
67,55,59,82,164,59,125
66,54,62,80,193,62,165
66,51,60,81,212,69,247
64,54,63,91,235,76,295
61,57,66,88,191,58,123
62,57,67,88,165,61,144
61,58,66,88,163,58,127
63,56,66,91,170,58,156
61,54,70,91,194,72,190
60,54,73,80,191,74,140
59,56,71,90,178,86,191
60,58,66,91,164,88,204
58,55,63,74,163,80,179
56,55,62,68,170,59,135
55,57,61,59,163,42,71
54,57,61,77,155,48,131
55,55,62,90,159,53,143
58,58,59,110,159,66,188
58,57,60,105,176,81,238
66,58,61,108,197,88,272
64,57,58,93,202,91,285
60,58,58,85,211,79,227
59,60,55,93,190,69,214
55,60,51,96,165,60,173
56,61,49,94,142,62,145
54,61,48,76,136,68,124
57,65,50,76,148,63,116
61,65,52,71,146,66,134
