"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
33,39,52,19,28,25,17
33,41,51,26,27,27,11
32,41,53,29,35,37,15
33,40,54,29,39,49,28
31,39,55,28,32,47,24
30,40,55,30,35,39,30
32,39,57,34,40,42,41
31,36,58,30,45,29,21
33,36,53,26,38,25,12
36,36,50,28,47,29,21
34,36,50,28,48,29,18
37,36,51,31,60,26,24
40,35,47,26,63,33,30
43,34,47,31,71,36,40
43,32,49,35,97,35,53
42,32,51,35,96,29,32
42,33,52,41,76,29,29
41,34,50,46,71,35,38
39,34,54,45,76,40,46
39,32,54,44,106,41,71
39,32,51,35,110,46,61
38,33,55,39,94,28,35
40,34,54,39,87,29,42
42,37,52,49,62,35,44
42,35,52,36,75,45,43
40,36,50,29,88,35,42
41,35,50,34,94,34,59
40,35,51,41,83,39,60
41,34,52,36,61,44,21
42,37,55,34,62,36,18
45,38,57,32,81,32,26
45,40,62,34,78,47,39
41,40,60,34,73,54,45
38,39,60,37,73,47,50
38,39,62,38,73,49,41
42,39,62,38,90,61,62
42,40,65,45,121,78,130
42,39,65,49,126,69,98
43,40,65,54,127,69,86
41,38,66,42,126,62,65
40,40,67,36,114,58,64
42,40,64,28,125,50,65
43,41,64,31,131,45,75
46,41,66,30,143,45,42
42,40,66,34,126,44,45
42,39,68,34,104,42,63
45,41,67,41,112,50,74
44,44,67,44,114,48,50
45,42,72,36,101,46,44
47,40,75,47,109,58,73
46,40,77,54,123,59,86
42,41,76,52,128,62,107
42,43,72,52,131,60,124
40,40,65,40,114,47,92
38,39,61,46,84,51,75
32,36,58,32,53,58,45
29,37,58,24,63,61,45
30,40,58,28,77,55,67
31,41,55,28,85,50,64
32,42,60,29,68,53,62
33,41,58,25,73,54,52
35,40,59,28,69,53,52
34,40,57,39,53,49,47
34,42,58,41,47,47,41
34,39,61,34,49,58,39
35,41,62,32,72,66,69
35,40,66,42,106,66,109
37,39,67,46,114,59,109
39,39,66,33,112,47,67
41,41,66,32,122,61,71
41,40,66,36,133,46,74
40,39,68,48,128,53,81
40,36,69,49,114,58,79
40,38,69,49,94,49,63
39,37,71,38,85,52,36
37,36,70,34,95,56,51
38,39,70,35,104,49,53
37,39,72,29,100,52,31
39,39,70,38,94,56,34
40,37,75,41,114,89,68
42,36,78,36,136,87,88
44,36,76,27,136,64,68
41,36,69,32,122,51,68
36,37,66,29,96,51,55
36,38,59,30,122,52,82
36,36,53,26,114,48,54
36,37,48,36,93,41,82
35,37,48,36,85,43,72
32,39,51,26,91,50,58
35,37,48,39,106,42,86
35,40,45,46,103,40,83
36,40,47,45,99,31,45
38,42,47,44,93,28,60
38,39,47,33,92,35,56
39,39,49,34,90,37,42
36,39,48,27,78,40,33
35,38,47,22,71,35,22
34,38,38,22,58,21,9
35,40,37,25,65,16,12
34,42,37,20,71,13,18
36,41,37,20,76,15,18
36,42,37,29,66,19,27
37,41,36,41,50,25,43
39,42,36,51,42,33,58
46,41,41,53,59,35,36
44,40,43,43,85,44,61
41,39,47,41,96,50,67
44,38,53,38,104,54,86
44,39,59,39,130,51,93
44,35,64,36,148,25,40
44,36,68,34,133,26,56
43,37,68,42,142,41,88
39,39,59,46,126,48,85
37,40,53,50,98,45,91
38,38,53,44,93,60,116
36,37,51,25,94,47,50
32,37,52,28,80,41,37
34,41,50,22,70,30,26
34,43,50,21,79,49,59
36,42,50,31,83,51,62
38,40,54,33,104,49,76
36,38,55,25,114,33,24
35,39,49,34,84,30,44
37,42,47,32,77,33,56
