"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
48,52,59,24,45,48,14
52,51,60,36,56,52,25
53,49,60,49,68,60,50
50,51,58,54,69,58,68
49,51,58,55,70,66,57
52,49,58,50,92,66,65
55,48,62,58,112,70,105
52,47,61,60,111,56,73
50,47,58,57,89,45,45
48,48,56,56,86,50,50
50,50,55,52,111,55,86
49,50,53,43,112,54,77
52,48,55,44,105,53,68
54,48,60,47,87,59,62
52,49,63,45,76,65,47
54,44,65,39,91,52,24
56,44,65,49,104,46,43
53,43,64,57,88,47,67
51,42,62,52,83,50,85
50,43,64,66,109,63,202
48,40,61,63,132,73,245
49,38,63,55,140,66,212
47,40,64,47,140,50,137
47,40,64,42,130,48,63
48,40,64,33,121,42,30
45,42,61,36,100,40,50
45,42,57,47,91,41,61
46,44,58,62,99,54,90
48,42,56,64,116,56,80
50,42,57,62,141,52,116
45,43,57,45,126,46,48
40,41,57,24,141,36,45
35,40,52,21,95,27,28
29,42,42,16,50,23,19
27,43,31,15,34,23,11
30,43,25,18,27,8,2
31,42,23,23,27,13,21
26,42,23,25,24,20,18
26,43,22,30,13,22,6
28,47,21,30,17,24,9
29,48,22,33,17,19,15
27,48,22,28,15,16,12
30,47,23,24,14,22,6
34,48,27,43,34,24,27
41,48,30,58,57,27,54
48,52,38,60,87,41,49
51,55,58,65,172,62,129
51,52,70,69,211,66,213
53,51,75,74,276,91,409
53,53,76,75,321,91,485
50,51,74,56,279,97,360
51,50,73,52,259,87,230
50,50,72,50,254,81,193
50,50,71,56,260,73,187
51,51,68,61,248,64,159
50,50,67,59,229,73,151
47,50,66,69,206,79,170
46,45,66,79,210,82,263
48,47,67,59,239,67,190
47,48,68,43,267,61,131
40,49,63,35,175,48,64
35,45,56,26,77,33,26
39,47,48,34,55,25,26
37,45,39,37,54,26,42
39,43,39,36,51,37,38
36,43,38,26,41,30,26
34,43,34,22,31,22,7
32,41,37,27,31,28,20
29,41,37,30,29,27,31
30,40,35,37,36,26,46
30,40,32,36,37,31,31
29,41,31,25,46,28,31
27,43,32,28,38,26,21
33,44,36,34,52,28,30
37,44,41,34,77,34,40
38,44,44,40,79,32,59
41,42,50,37,82,39,71
45,41,54,49,103,49,131
43,44,49,58,111,50,151
45,43,49,63,110,58,158
43,41,51,45,95,53,75
44,41,52,34,92,40,45
43,40,51,32,91,41,56
42,40,52,39,85,44,66
43,40,48,39,95,36,65
43,44,49,43,102,47,82
43,45,47,45,102,47,105
44,47,49,53,121,57,110
45,47,48,45,109,48,68
45,44,48,35,108,35,31
45,42,51,35,125,38,32
44,41,52,39,122,36,38
43,42,52,41,102,42,56
40,41,55,29,86,36,53
42,37,52,32,90,31,63
41,35,50,29,91,29,40
38,35,48,21,93,26,24
34,32,45,14,85,19,5
33,33,43,16,74,20,9
35,34,44,24,57,27,18
30,34,38,16,43,23,17
32,34,37,19,55,21,18
33,35,37,20,58,18,20
32,38,36,18,45,21,17
32,38,33,20,43,24,19
33,40,32,22,40,23,13
31,39,36,22,47,21,11
