"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
53,67,45,57,35,48,20
53,69,46,65,47,50,38
52,66,49,75,59,55,63
50,66,53,76,60,64,55
48,66,53,67,57,56,35
47,61,53,80,81,55,88
50,63,53,83,89,66,108
49,64,54,95,85,77,112
48,63,50,88,95,98,153
48,63,50,81,95,84,128
50,64,50,74,105,79,93
50,64,50,82,93,83,103
51,64,49,78,100,77,93
52,62,48,67,116,63,109
52,65,49,69,120,63,116
52,66,50,72,111,57,93
54,64,53,68,98,68,96
54,64,53,72,111,53,85
53,68,54,69,112,62,127
52,72,56,72,102,64,94
58,69,59,89,105,71,123
60,67,63,101,126,84,173
62,70,69,90,164,105,222
59,69,72,95,159,98,182
59,68,74,94,160,103,179
60,69,73,89,167,98,161
59,71,70,85,172,102,183
62,71,70,75,161,89,168
59,69,69,68,135,84,67
55,68,66,70,128,69,119
52,69,66,79,133,74,206
52,70,72,78,145,93,185
52,69,69,85,125,81,145
52,67,67,74,106,93,138
53,67,67,69,113,108,148
50,68,63,59,122,100,148
46,67,62,57,118,83,96
48,67,64,74,127,69,98
57,69,62,86,172,71,137
56,70,66,125,209,84,185
55,69,68,133,220,102,276
55,67,68,119,256,105,391
52,68,69,105,274,109,410
53,66,69,108,281,104,383
52,66,66,94,216,85,218
52,67,61,93,158,85,229
53,66,61,89,134,87,189
57,69,61,81,108,86,103
60,73,61,94,113,89,111
62,72,64,94,122,88,101
63,74,73,101,181,103,159
63,73,74,106,225,131,353
63,71,76,97,236,135,332
64,70,77,100,235,137,303
61,71,79,97,248,123,265
63,73,79,105,238,121,256
64,72,80,108,230,141,284
66,71,79,93,229,133,250
66,72,83,88,242,116,215
68,68,82,111,237,117,199
66,68,83,115,233,131,243
71,68,84,114,232,138,320
66,63,84,112,235,113,329
68,63,82,104,248,124,311
62,65,77,93,226,101,221
61,65,74,84,195,78,139
61,62,73,85,171,75,133
58,57,77,83,177,77,198
55,52,76,74,176,85,215
50,50,74,64,164,84,165
44,48,74,57,153,70,112
43,49,69,54,145,68,80
43,52,63,53,123,57,67
38,55,57,61,112,56,88
36,55,56,59,113,66,141
42,57,56,62,110,74,140
44,60,55,64,131,80,181
44,58,55,56,114,65,138
46,59,54,54,129,57,98
47,61,52,58,155,53,122
45,62,51,56,133,60,90
48,64,49,58,101,63,79
52,64,48,67,101,52,67
55,62,54,66,123,46,71
59,59,58,61,137,44,77
60,65,62,80,158,50,103
60,67,64,71,154,51,104
61,64,70,76,154,56,99
64,58,74,88,185,55,181
65,57,77,100,207,66,188
61,56,84,110,209,83,230
58,59,83,92,189,92,193
56,61,82,84,164,88,122
55,62,78,96,140,96,156
53,61,72,104,135,107,183
51,60,71,88,141,118,190
48,61,67,76,143,131,260
49,62,63,82,148,102,183
49,62,61,82,145,87,136
48,63,58,78,153,108,253
45,70,60,90,167,121,287
47,72,65,84,178,123,270
47,71,68,82,200,126,377
52,71,71,90,265,149,604
56,71,72,96,314,135,581
59,71,73,110,342,169,738
60,72,73,129,327,157,653
60,70,72,110,310,120,435
61,69,73,79,306,92,240
61,65,72,82,272,78,234
62,64,71,87,287,73,242
62,62,71,72,287,66,181
63,63,74,65,269,57,70
63,65,74,82,214,76,133
62,64,73,96,173,94,152
61,63,75,85,140,102,115
61,66,75,85,147,119,130
57,68,76,73,160,130,159
57,71,78,78,165,122,133
57,72,71,72,141,112,116
58,72,69,66,138,87,101
57,70,68,63,115,66,68
60,67,68,74,96,64,58
59,68,64,86,102,74,95
55,67,66,77,107,76,83
49,67,64,61,104,73,88
50,64,63,47,102,66,81
45,64,59,39,81,64,62
42,65,56,42,84,61,63
41,64,55,48,76,76,69
43,61,55,46,65,70,52
45,61,55,44,68,77,55
44,57,52,47,86,65,48
42,57,48,45,92,59,49
38,57,45,44,84,59,81
35,59,45,45,72,55,77
35,55,44,46,82,45,75
33,54,48,38,81,48,75
32,53,47,38,74,41,35
31,53,43,51,80,40,62
30,52,38,48,80,41,68
29,53,37,45,67,40,66
30,56,35,43,61,37,46
33,59,34,37,58,45,39
33,66,33,36,56,42,23
34,60,34,47,58,43,36
36,58,36,54,58,54,86
36,59,41,46,61,64,67
36,61,44,56,87,58,78
40,62,48,70,125,59,114
45,61,48,66,127,58,109
50,61,56,56,151,58,116
50,60,57,57,152,64,106
49,57,55,72,161,68,140
49,55,55,66,200,73,199
49,54,55,62,214,79,185
48,54,55,59,204,82,203
48,55,53,52,205,76,185
49,60,54,51,225,56,154
52,61,55,45,233,42,90
50,60,55,39,226,52,84
51,65,55,46,167,55,77
48,66,55,52,153,65,132
52,66,56,72,187,90,237
50,66,54,72,274,86,337
51,67,53,75,357,85,326
52,69,57,64,437,77,345
51,70,56,61,432,74,296
57,71,66,62,385,86,244
56,73,72,62,363,105,288
59,72,77,70,384,130,415
60,73,79,68,414,129,418
57,69,80,85,407,109,362
60,72,82,87,399,109,373
58,71,83,88,377,123,408
61,70,81,105,351,110,401
58,63,84,116,326,119,468
56,59,82,97,335,141,516
55,61,82,94,379,150,465
55,62,81,86,400,158,649
56,60,79,86,326,142,436
57,57,78,92,306,131,323
58,56,80,90,313,127,347
54,56,80,84,320,133,357
57,64,78,107,308,125,444
55,64,79,107,272,134,535
53,63,79,95,274,137,472
52,62,81,79,272,137,418
55,63,79,74,285,145,431
54,63,78,85,301,150,476
53,64,76,88,304,137,477
50,65,77,78,298,119,404
51,69,73,70,284,105,272
53,66,74,55,284,91,137
54,67,78,58,272,85,139
55,69,79,77,271,81,263
58,69,78,85,265,86,299
56,69,78,83,240,96,235
58,66,80,80,278,102,267
59,70,79,83,299,127,384
