"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
45,45,40,32,26,23,11
46,46,39,34,29,38,15
47,50,42,47,51,46,41
51,51,45,53,73,46,60
53,52,48,59,79,47,75
51,51,49,62,68,46,62
53,52,51,65,77,51,54
53,54,53,70,90,60,82
53,54,53,59,95,60,62
54,53,54,54,111,55,59
52,52,53,59,95,51,99
53,52,56,68,97,63,106
52,49,47,74,111,57,123
52,47,46,72,123,57,109
51,45,44,62,100,54,92
50,45,44,48,77,43,47
52,46,41,53,78,37,49
52,46,39,61,75,36,54
51,46,41,50,72,38,36
52,46,46,41,70,35,23
57,45,48,48,75,28,28
59,45,51,42,73,34,31
60,48,58,48,84,43,36
59,47,63,57,91,52,50
53,45,64,45,102,54,62
53,43,63,47,113,63,61
53,42,62,43,125,65,85
50,42,58,40,115,51,62
46,39,60,44,121,57,82
49,39,57,53,107,49,72
50,40,60,55,119,58,86
51,39,61,56,119,49,90
52,41,58,38,109,54,67
50,40,58,36,95,47,48
49,37,61,36,100,32,43
51,37,62,47,105,27,48
50,38,60,47,97,32,45
49,39,59,41,101,44,42
47,41,60,41,100,49,51
49,42,57,50,102,40,57
52,43,54,46,129,38,69
52,44,54,40,134,41,70
50,46,51,36,112,36,36
44,44,48,44,66,38,33
47,44,45,53,56,35,35
43,44,42,53,55,38,70
44,41,40,45,55,36,52
43,42,36,43,48,34,37
41,43,35,44,45,29,43
43,42,35,40,50,25,31
40,43,35,37,56,31,42
43,45,35,55,64,32,53
46,44,37,75,69,33,74
43,44,36,76,67,30,84
43,44,33,69,70,29,78
47,44,35,69,79,24,53
47,43,42,79,119,35,154
48,43,42,71,150,36,158
48,43,40,82,167,43,219
48,46,39,84,195,51,294
50,45,38,88,198,52,319
49,44,40,67,182,54,252
48,44,42,45,143,50,132
50,45,42,51,121,42,97
49,44,42,52,102,44,80
50,43,45,37,93,39,59
50,43,45,34,86,39,43
49,42,44,44,95,38,48
47,42,44,54,85,50,72
45,41,46,47,86,55,103
45,39,42,42,81,51,83
45,41,41,38,102,35,58
45,42,40,30,103,29,42
50,44,43,36,100,26,41
50,42,45,43,98,26,34
54,43,45,51,86,29,43
60,42,48,71,99,49,83
61,43,54,69,137,65,118
64,42,61,68,191,68,133
60,42,67,60,207,68,126
61,43,76,59,232,69,146
59,46,73,59,204,60,128
56,47,73,53,185,74,139
58,49,70,61,192,62,120
56,45,68,49,173,52,83
59,44,65,44,171,45,82
58,44,63,44,185,37,65
56,42,61,27,161,25,15
53,44,62,43,113,28,25
51,46,58,33,80,28,29
55,47,54,38,70,31,23
55,48,54,47,74,41,41
57,47,53,56,82,49,52
59,47,51,54,101,47,51
59,47,54,55,112,38,43
64,46,58,72,141,39,81
65,48,62,87,154,56,123
63,48,62,74,175,63,108
64,47,64,75,195,69,248
64,47,62,68,211,62,214
67,48,62,58,201,53,82
67,48,58,80,205,62,189
69,49,59,101,236,66,324
70,50,60,97,270,54,243
70,50,57,91,282,50,181
72,52,56,88,313,85,382
75,53,58,87,352,91,386
74,53,59,86,310,83,334
78,50,66,94,332,80,361
78,49,65,93,289,76,272
75,48,63,80,228,57,162
72,47,64,72,242,52,132
69,46,68,80,230,59,138
66,46,70,90,186,59,115
65,46,73,88,165,55,112
63,45,73,62,139,53,100
61,44,66,56,138,57,85
63,43,59,58,142,48,102
61,42,58,55,129,44,82
60,40,57,55,137,50,90
63,42,57,69,160,58,136
62,42,57,65,168,54,180
61,42,52,69,152,55,153
61,44,50,54,135,57,100
62,43,52,52,100,51,53
64,44,57,56,103,50,66
64,43,55,45,106,47,65
66,40,57,45,117,38,47
64,40,62,63,123,42,77
62,41,61,63,132,53,136
59,42,65,45,161,48,85
58,47,65,37,185,40,60
59,49,66,41,153,49,63
59,50,66,39,130,43,40
59,48,66,48,128,51,72
57,44,66,49,126,58,76
55,44,65,58,145,61,128
46,43,61,44,148,49,83
44,44,62,39,131,32,56
42,43,53,39,101,30,50
40,43,52,34,70,25,30
43,38,51,36,97,19,40
39,37,48,32,68,20,27
39,35,45,30,73,31,29
38,36,37,33,50,17,6
33,36,29,39,44,15,26
32,36,29,33,52,18,20
32,36,26,25,72,16,14
31,38,28,29,67,18,27
35,40,30,29,62,26,35
43,35,30,41,72,22,45
48,37,31,42,84,20,35
53,39,40,50,119,24,69
56,41,42,43,126,28,64
57,41,42,32,115,33,32
56,39,47,29,104,31,19
60,37,46,54,128,34,69
60,36,50,73,159,60,188
57,34,51,71,184,58,173
55,34,51,49,198,54,113
54,34,52,49,189,42,85
52,35,52,49,190,38,100
52,35,51,37,212,43,101
53,36,49,35,211,35,105
53,33,47,34,185,35,71
54,32,49,37,158,30,60
51,34,51,41,149,32,78
50,35,54,44,141,31,74
49,35,60,40,140,31,40
47,37,60,37,137,50,69
44,38,54,42,118,66,93
45,39,56,46,143,70,120
48,41,53,49,171,61,149
50,42,57,53,186,51,140
50,43,58,58,203,51,169
51,43,59,58,228,63,214
50,44,61,44,251,57,183
49,43,58,37,268,50,173
50,41,53,47,214,46,168
49,41,53,52,187,47,177
51,42,54,61,182,55,172
48,42,50,64,165,54,145
48,42,49,76,167,64,272
45,43,48,79,187,73,344
46,43,50,93,239,85,483
46,41,53,85,301,97,519
47,42,52,52,328,72,260
48,45,53,51,301,51,139
51,44,54,46,256,47,71
54,46,49,44,178,42,53
52,50,46,48,114,41,60
52,51,47,49,89,55,76
53,50,49,49,92,45,58
57,51,51,62,102,54,70
57,48,50,68,118,45,61
55,47,52,66,136,45,77
56,43,50,44,115,34,37
56,46,50,57,93,44,51
55,43,50,65,86,45,61
53,42,49,61,96,47,55
