A,B,C,AB,AC,BC,ABC
1,1,1,0.6888888888888889,0.6,0.6041666666666666,0.3125
1,1,1,0.6875,0.625,0.6808510638297872,0.3829787234042553
1,1,1,0.6666666666666666,0.6041666666666666,0.7391304347826086,0.43478260869565216
1,1,1,0.6808510638297872,0.6170212765957447,0.7608695652173914,0.45652173913043476
1,1,1,0.6808510638297872,0.6808510638297872,0.717391304347826,0.3695652173913043
1,1,1,0.6595744680851063,0.6595744680851063,0.7659574468085106,0.3829787234042553
1,1,1,0.7083333333333334,0.625,0.75,0.3958333333333333
1,1,1,0.7708333333333334,0.6666666666666666,0.7083333333333334,0.4791666666666667
1,1,1,0.7916666666666666,0.6875,0.6666666666666666,0.4583333333333333
1,1,1,0.8333333333333334,0.7291666666666666,0.6875,0.5416666666666666
1,1,1,0.8333333333333334,0.7083333333333334,0.7021276595744681,0.5
1,1,1,0.8125,0.6666666666666666,0.7083333333333334,0.4583333333333333
1,1,1,0.75,0.723404255319149,0.6938775510204082,0.4166666666666667
1,1,1,0.7608695652173914,0.7291666666666666,0.6875,0.45652173913043476
1,1,1,0.7391304347826086,0.717391304347826,0.6458333333333334,0.43478260869565216
1,1,1,0.6739130434782609,0.6304347826086957,0.6666666666666666,0.391304347826087
1,1,1,0.6666666666666666,0.6444444444444445,0.6326530612244898,0.37777777777777777
1,1,1,0.6382978723404256,0.6808510638297872,0.6326530612244898,0.44680851063829785
1,1,1,0.5957446808510638,0.6808510638297872,0.6595744680851063,0.44680851063829785
1,1,1,0.6122448979591837,0.7021276595744681,0.6595744680851063,0.4489795918367347
1,1,1,0.625,0.7021276595744681,0.7021276595744681,0.4166666666666667
1,1,1,0.625,0.723404255319149,0.6595744680851063,0.3958333333333333
1,1,1,0.625,0.717391304347826,0.6956521739130435,0.3958333333333333
1,1,1,0.6458333333333334,0.6956521739130435,0.6739130434782609,0.4166666666666667
1,1,1,0.5833333333333334,0.6808510638297872,0.6170212765957447,0.3829787234042553
1,1,1,0.5306122448979592,0.6875,0.625,0.3877551020408163
