"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
44,58,49,41,28,41,17
45,58,47,43,34,44,18
49,62,49,62,55,49,40
49,61,52,62,63,63,59
57,63,53,74,83,63,77
59,63,51,72,100,47,72
60,62,56,69,104,56,73
60,59,59,80,115,73,100
60,59,58,83,143,82,176
64,56,58,79,207,85,238
64,59,57,90,207,71,184
63,59,62,94,177,80,166
62,60,62,83,157,72,124
64,59,64,76,148,70,105
63,58,66,82,137,71,106
62,60,65,98,153,76,142
62,57,64,93,160,94,134
59,54,66,73,170,97,135
58,49,64,56,171,81,107
53,47,62,63,159,73,98
50,47,58,55,146,56,74
49,47,51,82,113,33,57
50,48,50,77,108,46,87
49,46,52,63,164,62,105
46,48,55,56,193,45,90
48,46,55,49,169,50,95
48,44,55,38,165,57,70
49,47,53,52,148,41,61
48,49,52,68,126,47,100
51,49,52,59,124,35,55
51,49,54,53,117,36,47
46,48,53,51,96,53,62
43,45,54,42,104,48,48
47,45,52,45,113,42,50
48,45,50,42,90,29,33
47,45,52,39,89,40,46
48,43,54,35,77,44,35
51,46,54,38,110,44,65
48,49,61,42,109,51,84
49,47,65,55,123,53,82
48,50,64,51,140,60,102
48,45,59,46,145,53,106
47,45,56,46,118,69,110
44,45,53,43,107,67,93
41,46,49,37,99,52,50
42,46,52,32,95,51,46
43,47,48,21,86,46,33
43,46,47,36,78,44,71
43,47,41,34,49,35,35
42,49,36,36,44,29,23
42,51,35,41,39,36,51
42,52,32,46,56,39,44
46,51,33,49,73,35,62
49,52,37,64,83,35,84
50,50,40,50,89,38,64
45,49,48,46,87,43,58
53,48,48,44,122,37,37
52,51,53,35,130,26,22
51,50,59,46,100,27,32
52,49,60,47,87,34,35
51,49,59,58,98,39,51
52,51,58,82,115,57,98
53,51,61,81,123,71,109
54,48,62,73,137,70,120
53,46,64,64,147,66,113
50,44,65,54,146,63,94
52,43,68,58,136,45,71
50,43,68,56,113,41,53
49,42,68,53,110,47,55
49,43,66,65,94,50,60
44,43,65,54,84,59,80
43,44,62,50,88,61,118
39,44,58,51,74,50,80
38,44,61,48,67,50,55
45,47,58,48,85,50,62
46,47,53,42,72,48,44
46,49,52,45,80,57,54
45,49,53,45,90,64,63
42,48,52,44,106,64,97
48,53,54,52,119,79,134
46,53,56,49,124,76,118
47,53,56,52,126,62,86
48,54,59,41,153,59,102
46,54,63,35,128,57,54
45,56,63,39,111,54,56
48,54,61,44,102,55,54
50,56,63,66,84,62,56
50,57,65,66,103,63,116
50,57,64,67,130,76,200
50,58,60,80,143,80,262
52,59,58,88,149,75,286
52,59,56,83,179,81,375
53,55,54,83,183,76,331
57,54,54,81,186,85,294
56,53,51,79,193,80,226
56,51,51,66,169,70,189
51,52,50,61,151,64,141
49,55,52,57,135,53,86
50,54,50,46,115,48,56
48,54,49,50,105,34,40
51,55,49,60,90,41,53
53,55,48,68,80,36,45
