"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
42,54,48,38,30,38,12
43,55,45,33,31,43,13
45,54,43,48,27,43,15
50,54,42,65,48,46,44
49,54,41,75,65,55,90
53,55,38,68,73,66,114
52,54,41,65,77,61,81
50,52,44,55,85,53,77
51,53,45,64,89,50,78
50,54,46,65,92,42,54
49,54,49,62,83,40,65
52,56,51,62,101,49,89
56,59,52,67,111,67,133
56,63,54,86,117,76,149
57,61,58,95,140,97,248
59,65,57,96,167,103,264
58,62,61,81,179,93,166
64,62,63,92,160,87,137
70,65,67,107,185,99,212
72,63,71,111,232,98,255
71,63,78,107,286,94,345
72,61,80,105,315,100,360
71,63,81,92,299,109,287
68,59,80,77,297,98,225
65,60,80,69,245,81,147
66,60,79,58,220,71,119
63,60,78,63,202,82,143
58,59,75,64,169,87,120
57,61,72,60,130,73,74
54,61,71,59,114,69,75
56,65,72,73,148,75,112
56,64,74,73,144,67,82
59,64,74,74,142,64,73
58,62,77,74,134,81,79
57,62,79,73,164,98,103
56,62,78,72,158,92,89
55,56,79,64,134,90,82
53,56,77,58,122,89,102
51,58,70,76,105,68,79
49,57,66,73,104,69,92
47,57,66,61,119,72,126
50,57,67,43,144,67,96
47,60,61,45,126,55,76
50,62,54,49,106,41,56
51,61,53,54,112,45,63
49,64,54,63,115,58,90
51,66,51,68,97,51,82
49,63,45,71,80,50,65
47,60,44,58,81,54,61
47,59,41,53,69,55,59
49,57,41,47,72,49,47
44,57,39,56,58,42,79
40,55,38,52,52,37,52
41,56,41,46,60,41,33
43,58,45,46,60,53,30
42,57,46,54,77,69,65
45,58,46,64,124,76,160
44,56,50,59,186,71,178
45,55,51,47,214,60,93
49,58,52,46,170,47,72
50,62,55,63,173,51,122
50,62,56,62,171,61,148
53,62,58,64,165,66,132
56,64,66,77,163,69,97
55,64,70,89,150,88,166
55,63,70,87,136,94,149
56,62,72,72,145,79,113
58,63,75,72,151,69,100
59,63,76,84,137,74,107
61,62,76,74,148,70,77
61,63,75,70,136,56,55
61,60,75,75,138,44,44
58,56,72,76,132,67,75
56,54,68,74,138,82,108
51,51,65,63,144,85,147
49,52,61,57,132,82,138
48,48,60,58,148,81,143
50,47,58,57,151,78,146
47,48,57,52,145,77,118
48,48,57,63,147,90,167
