"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
43,54,47,28,36,45,14
42,53,46,29,43,43,16
38,54,44,38,45,48,23
35,53,43,38,44,42,34
42,55,41,52,51,44,38
46,56,43,64,62,58,61
47,57,45,84,87,62,112
47,59,45,82,95,65,111
46,62,46,79,109,65,131
49,63,46,66,93,61,99
50,62,44,69,113,56,109
50,62,44,71,116,63,116
51,64,43,80,122,66,157
54,60,45,87,129,66,137
55,60,47,87,152,72,158
57,60,49,82,167,62,148
57,59,52,62,148,58,99
59,60,61,68,191,70,185
62,57,65,71,181,63,156
63,57,61,67,169,54,136
63,55,61,74,162,56,142
67,56,61,80,169,56,135
65,55,62,73,152,55,130
62,54,61,72,114,49,79
59,54,64,61,117,64,79
54,52,62,54,120,57,78
50,52,58,50,124,52,72
48,49,55,42,129,60,80
48,49,54,51,128,51,87
51,48,56,62,136,52,95
50,48,58,60,134,60,97
51,51,60,69,158,59,88
53,50,60,70,185,67,146
53,47,61,73,193,68,167
55,48,60,65,176,76,178
56,49,60,74,152,81,168
54,52,59,62,149,70,100
53,53,60,67,193,64,176
56,48,59,52,193,60,114
58,50,59,52,152,55,77
59,48,61,60,96,55,66
57,47,60,53,84,59,58
59,52,58,50,88,65,40
53,52,58,53,101,63,50
50,57,55,58,100,65,79
53,56,56,58,127,75,113
57,56,57,70,128,62,108
58,56,56,88,114,72,132
58,55,54,79,108,71,98
52,51,51,70,107,67,98
52,52,49,54,116,56,93
52,56,51,44,131,62,100
52,55,51,43,126,49,79
55,56,52,50,107,38,57
55,53,52,63,103,31,52
49,54,52,61,86,35,46
49,53,51,49,93,49,57
52,54,50,63,88,48,73
55,51,52,58,111,52,94
55,53,53,68,113,50,102
52,55,54,79,142,55,182
48,56,54,75,146,58,246
48,53,55,71,136,69,188
47,50,55,46,110,58,74
47,51,53,33,101,44,37
49,48,52,36,90,30,22
51,50,49,55,79,35,49
53,52,51,74,77,52,107
55,53,58,94,141,86,222
56,54,61,84,177,92,195
60,52,58,77,181,71,167
61,54,59,92,166,79,205
60,53,58,101,183,80,231
58,55,58,81,260,70,223
61,57,56,56,265,52,89
61,58,57,59,242,42,68
59,58,57,66,203,33,69
63,58,57,62,167,32,46
64,61,58,75,137,38,45
65,60,63,90,152,61,122
66,60,65,102,199,70,182
70,59,66,105,245,81,219
70,58,65,97,265,79,245
72,58,67,115,249,68,177
70,58,66,98,213,88,178
69,58,66,91,177,63,95
69,53,67,89,148,36,81
65,50,66,79,144,41,112
60,50,62,62,126,38,84
58,50,60,54,129,33,48
51,47,58,45,120,23,30
48,47,55,35,112,31,28
45,46,51,39,109,35,45
38,48,43,40,57,39,45
36,51,36,39,36,24,14
36,50,34,38,31,18,12
36,48,32,39,33,24,23
35,48,31,45,30,31,30
35,51,30,35,27,31,20
36,50,32,38,29,24,18
35,54,31,40,37,30,29
35,51,29,38,28,28,20
36,49,29,30,30,31,14
36,48,24,31,34,30,26
34,45,26,33,51,22,21
35,47,29,48,61,27,45
33,46,28,39,51,28,52
33,47,27,29,41,16,13
36,47,25,32,32,14,14
35,48,27,38,32,13,9
34,48,26,33,25,13,10
33,48,26,34,30,15,19
36,50,30,37,48,19,24
37,49,32,39,56,27,45
37,51,37,46,61,40,69
39,50,39,49,71,50,131
40,51,36,53,78,61,162
40,54,35,59,98,61,140
39,54,35,55,93,47,119
43,56,37,67,78,39,70
50,58,39,69,83,31,54
53,62,39,83,93,39,70
57,61,41,79,117,52,93
56,60,47,78,141,55,51
58,58,47,92,136,44,78
59,58,49,107,136,45,129
54,56,47,76,156,50,147
56,57,46,73,164,57,149
56,57,47,72,164,47,91
56,59,45,79,141,37,69
59,61,43,82,137,31,93
57,58,43,83,135,33,94
59,57,45,72,144,31,73
58,56,42,60,128,27,54
57,54,39,64,107,25,50
58,53,39,68,93,22,38
57,50,40,51,100,21,43
48,48,41,40,87,30,60
43,45,34,37,53,22,45
38,45,28,41,48,23,27
34,46,26,32,40,21,20
35,47,31,34,40,26,32
35,46,34,36,32,33,22
34,45,33,39,27,35,27
35,47,31,27,30,33,27
36,43,28,33,40,40,50
37,48,28,36,37,32,32
37,50,24,43,42,26,18
40,52,27,41,57,24,23
46,55,28,49,58,25,17
53,56,30,57,59,34,17
52,56,37,65,67,45,62
53,59,39,69,72,39,41
56,55,42,70,74,24,27
57,52,45,67,71,25,37
53,54,45,72,71,33,43
52,55,46,70,76,40,43
51,55,45,51,78,35,36
48,55,47,53,66,38,41
47,55,45,55,65,34,38
48,55,43,52,70,37,56
49,56,43,53,88,39,50
46,57,39,53,79,36,44
46,54,40,52,81,38,65
48,57,38,56,64,33,51
51,58,46,60,100,47,77
54,56,47,41,216,42,100
52,52,49,47,264,34,96
51,52,48,44,217,26,28
48,52,47,49,132,24,16
47,50,47,51,107,20,17
44,48,46,56,98,35,78
45,49,52,52,108,42,74
49,47,50,55,119,33,44
49,48,53,64,140,44,85
49,48,51,59,151,60,111
51,49,54,54,151,51,102
55,48,56,56,159,49,96
54,50,58,61,138,50,79
55,48,59,62,126,69,69
52,47,59,60,166,80,138
50,47,61,54,169,91,151
51,45,63,57,158,94,125
53,48,63,50,176,86,138
55,49,59,51,204,68,194
54,51,60,62,182,68,172
51,51,57,58,143,64,150
45,53,57,49,136,71,92
42,52,56,47,149,76,101
43,49,55,59,158,87,171
46,48,54,70,192,119,319
45,47,56,69,229,97,304
49,49,54,66,249,59,227
50,51,51,66,222,53,207
50,52,49,67,168,57,138
49,51,50,56,136,45,102
46,50,49,37,124,45,71
46,47,44,38,105,46,71
45,49,45,46,90,40,62
44,49,46,41,72,34,53
