"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
40,54,51,32,34,39,16
41,53,51,29,37,40,26
42,56,51,38,51,51,33
43,57,50,60,63,62,80
42,60,50,62,76,67,83
41,56,48,61,90,62,89
46,52,51,58,104,57,86
46,53,52,57,107,56,70
46,55,52,64,93,60,80
48,53,54,81,94,62,106
49,50,57,73,103,87,136
50,52,61,56,112,100,128
51,51,63,42,149,98,135
51,48,64,50,187,71,146
53,50,59,63,163,62,127
54,52,60,63,160,71,120
52,50,60,60,158,69,145
53,50,60,62,159,66,147
53,52,60,62,143,70,101
51,50,60,50,103,67,42
52,46,60,29,108,52,24
50,48,59,32,91,57,30
48,47,57,34,87,42,27
47,42,55,46,73,38,45
47,43,53,45,60,44,37
44,45,49,42,54,43,32
38,45,47,39,50,55,38
39,45,45,46,56,57,43
42,50,42,56,63,58,64
41,49,44,50,92,53,65
42,52,47,52,88,63,72
44,52,49,56,88,69,91
49,53,58,61,122,74,114
49,55,56,71,112,78,145
49,56,57,72,104,86,157
47,53,58,66,113,94,163
45,52,60,60,121,91,157
44,54,59,60,126,77,174
45,51,58,53,158,87,187
48,48,58,42,153,69,115
49,49,57,44,110,49,49
48,47,58,43,105,36,30
48,47,59,46,106,37,29
50,48,61,42,98,41,28
48,45,59,35,90,43,38
45,46,59,41,93,50,67
44,44,59,40,84,44,44
41,44,58,40,81,51,41
40,43,60,40,78,57,52
43,41,60,60,80,65,78
46,46,59,71,101,77,114
47,47,59,58,135,72,128
51,47,59,53,166,59,152
51,46,61,45,162,53,117
49,43,62,35,161,52,57
50,44,64,36,146,53,70
50,47,66,46,127,58,84
52,49,69,55,134,73,136
49,50,66,58,145,81,168
49,49,63,58,170,85,204
48,47,63,42,179,61,120
47,48,54,39,148,47,101
48,46,52,40,118,38,71
46,46,51,41,117,45,116
45,42,50,43,109,68,149
42,41,51,40,111,57,121
40,41,47,49,119,46,138
42,45,51,55,155,56,134
44,43,54,57,183,54,157
41,42,57,56,189,61,217
40,41,53,55,169,49,169
36,44,45,41,136,47,123
35,42,41,39,107,38,82
35,41,39,33,101,35,69
35,40,38,29,102,30,47
34,41,37,34,114,40,51
33,44,37,47,116,51,108
37,46,37,46,132,45,119
38,46,39,39,172,56,102
39,46,40,41,178,45,100
41,45,40,43,156,40,74
45,48,43,49,126,42,83
47,52,46,62,114,43,97
