"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
59,56,54,57,42,37,28
61,57,53,58,45,40,25
58,56,55,59,47,46,30
56,54,54,53,59,45,38
57,57,53,61,74,48,53
56,55,52,63,80,52,72
51,55,52,66,95,62,84
50,54,55,63,122,61,108
52,54,53,56,111,60,95
53,55,49,62,97,66,100
49,53,50,45,99,66,67
49,55,49,52,106,69,103
49,52,46,58,137,53,115
47,52,46,61,114,42,90
47,52,44,64,115,50,112
48,50,45,67,129,42,91
47,49,42,53,117,39,42
48,47,40,46,92,31,29
49,48,36,56,90,32,35
51,50,38,59,94,30,65
50,47,45,51,97,34,55
50,43,46,48,122,32,81
49,44,48,51,127,38,102
44,43,47,43,126,33,92
43,43,48,37,137,34,61
41,44,48,32,138,35,48
36,46,48,36,118,40,55
36,46,45,33,97,30,40
37,47,44,32,98,39,44
39,45,48,37,126,23,27
43,50,49,40,139,35,62
44,55,50,40,127,40,93
47,53,47,45,99,46,96
49,49,49,49,82,49,76
49,49,51,44,86,47,63
52,50,54,49,87,48,60
51,53,53,56,97,56,77
51,55,52,54,115,49,85
54,56,54,51,137,49,83
58,57,54,55,130,38,74
59,57,55,69,108,40,74
61,56,53,73,103,45,74
63,55,53,80,108,53,55
65,54,54,81,121,39,45
63,56,55,90,128,40,53
62,57,59,78,154,47,65
60,53,61,65,161,51,78
57,53,61,58,147,55,101
58,52,58,54,123,57,95
56,53,54,64,122,70,154
54,55,57,70,167,64,174
54,55,55,60,208,55,144
52,56,58,52,175,57,78
53,53,61,53,122,60,73
51,52,62,62,105,60,69
49,53,58,54,99,67,87
47,51,56,52,98,61,100
45,51,51,39,95,45,49
42,50,46,33,88,30,31
41,47,43,35,67,37,41
39,51,42,40,58,32,48
39,51,40,43,63,41,56
44,53,44,43,85,38,50
49,55,45,68,97,44,93
50,51,45,52,117,39,64
50,52,51,44,113,52,60
50,53,53,50,105,58,79
55,56,57,77,90,65,75
55,54,56,85,93,67,102
59,51,60,85,119,75,158
59,53,66,96,170,102,319
54,55,62,74,190,90,292
