A,B,C,AB,AC,BC,ABC
52,43,47,30,44,25,12
51,42,46,29,43,23,12
51,41,45,29,45,24,13
51,41,44,31,42,29,12
51,41,46,32,41,29,12
50,41,46,34,43,30,12
51,41,46,41,42,34,18
52,40,47,42,46,34,23
51,40,48,44,51,36,30
51,40,48,44,52,39,35
50,41,48,47,53,44,41
50,40,48,50,61,45,55
50,40,50,52,68,46,58
49,40,52,47,65,54,61
49,41,54,50,70,59,75
48,40,54,47,68,50,68
47,39,55,47,68,49,71
49,40,55,53,68,51,79
50,40,55,54,71,51,79
48,39,56,51,72,51,71
48,40,56,50,72,50,58
47,40,56,53,75,55,65
48,39,55,52,74,55,69
48,40,53,56,76,51,69
48,40,54,59,82,49,74
50,42,54,55,78,48,66
51,42,53,53,86,45,59
50,43,54,53,88,48,69
51,44,53,51,93,51,71
50,44,52,49,89,49,69
52,44,51,48,90,45,64
50,44,51,46,91,46,61
50,43,51,44,92,37,51
50,42,52,43,96,39,54
52,42,54,40,97,43,48
52,42,54,41,97,41,34
51,42,53,34,97,43,38
54,42,53,37,97,44,44
53,42,52,40,96,41,45
53,43,52,36,103,42,35
53,43,53,35,103,42,35
54,42,52,36,102,34,29
54,42,52,38,96,35,32
54,41,54,36,100,36,31
55,41,54,41,95,41,43
55,40,53,38,86,42,38
55,39,53,39,82,39,39
55,38,53,41,79,37,38
56,39,53,46,78,37,38
58,39,53,46,81,39,39
57,38,52,49,82,37,39
56,38,53,52,84,39,43
55,39,53,51,87,40,55
56,39,52,53,90,42,54
55,40,53,56,86,49,67
55,39,51,58,87,49,82
55,38,50,58,88,49,90
53,38,49,64,92,48,97
52,37,49,65,94,46,107
52,37,51,59,100,48,111
53,38,51,62,102,50,108
54,38,51,62,105,49,114
53,38,51,60,99,45,99
52,40,49,57,98,43,85
51,40,48,53,99,42,81
51,40,48,49,101,41,67
52,41,47,48,98,39,48
52,40,47,50,96,36,43
50,41,47,48,90,38,36
50,40,48,45,92,39,36
50,40,48,42,95,38,36
49,40,49,39,101,36,34
49,41,49,38,100,38,43
48,40,49,36,101,36,45
48,40,49,37,100,37,45
47,40,49,41,98,40,51
50,41,50,45,102,44,52
50,42,50,47,108,49,57
50,42,49,45,109,49,58
51,43,50,45,108,47,56
52,44,50,49,100,44,51
52,44,53,50,97,49,55
53,45,52,55,92,47,55
54,45,52,56,102,47,61
53,46,52,59,100,39,50
52,46,53,56,99,39,46
53,46,50,60,99,37,53
53,46,51,59,100,40,48
53,47,50,61,100,40,50
54,48,52,63,105,42,58
54,47,54,61,109,39,49
54,47,53,59,107,39,47
54,47,54,54,109,41,48
57,47,57,56,122,43,55
57,46,56,60,124,43,61
59,46,56,68,130,45,68
59,46,56,68,129,47,69
59,46,57,72,133,46,77
59,46,57,70,132,49,87
60,46,57,64,129,50,79
61,46,57,65,134,53,94
60,46,57,65,134,54,89
61,46,57,68,133,59,103
61,45,57,64,131,59,100
61,45,57,64,130,58,97
60,46,58,60,137,63,109
60,46,58,54,134,62,92
59,47,58,58,133,59,89
59,46,58,59,132,63,93
58,47,58,57,132,61,93
57,47,58,55,132,61,95
57,46,60,49,137,65,95
57,46,60,50,140,64,98
57,46,60,50,142,66,98
57,46,60,52,146,66,109
57,47,61,53,147,67,119
58,46,61,58,145,68,126
57,46,61,58,146,67,125
56,47,60,63,151,66,141
57,48,60,62,150,67,141
57,48,60,67,152,67,154
56,49,60,66,148,64,146
56,50,60,67,148,59,125
56,50,60,62,150,57,112
55,49,60,64,145,54,102
54,49,60,59,132,55,92
54,49,59,58,118,50,75
53,49,56,54,108,45,61
54,48,56,58,110,41,52
54,48,55,57,111,39,50
53,47,57,53,105,40,44
55,47,57,57,108,43,54
54,47,56,56,103,44,56
55,47,57,55,97,49,62
56,48,58,54,107,50,69
55,48,58,55,101,57,75
54,48,55,51,105,56,79
54,47,55,52,107,60,97
55,47,55,51,115,64,112
56,48,54,51,119,65,107
55,48,54,53,121,63,108
55,48,54,55,115,64,108
55,48,55,49,115,65,82
54,48,55,48,112,65,78
54,47,54,43,114,57,72
54,47,54,47,104,50,56
54,47,55,46,112,50,60
51,45,55,38,110,51,59
50,45,56,40,110,51,58
51,45,56,41,109,49,57
51,44,56,40,112,49,68
51,44,55,42,112,48,71
51,44,54,40,116,47,81
50,44,54,41,114,43,82
50,44,53,40,109,41,76
47,45,51,43,104,38,67
47,45,52,46,103,42,62
47,44,52,44,102,40,55
46,44,51,45,91,37,55
46,45,51,46,92,39,54
45,45,51,42,88,41,51
46,45,50,43,88,39,45
45,45,48,46,82,41,51
45,44,48,46,77,40,43
45,43,46,44,74,36,35
47,43,46,42,70,33,32
47,43,46,37,62,32,24
47,43,46,34,66,31,14
48,43,47,35,74,32,17
48,41,46,35,76,27,17
47,41,46,38,82,24,20
47,41,46,39,82,24,19
47,41,44,36,80,20,18
49,43,43,37,85,22,22
49,41,42,39,88,22,36
48,42,42,39,89,22,38
47,41,42,43,87,17,44
47,41,41,44,85,21,52
