"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
51,46,37,27,30,25,10
52,47,36,34,37,31,17
50,48,37,46,37,33,23
48,48,37,46,44,36,33
46,48,33,37,35,22,10
45,47,36,43,35,24,16
46,47,40,43,45,31,28
45,47,37,46,38,24,22
48,46,37,60,47,35,39
52,49,37,53,68,34,43
56,50,38,64,81,31,49
56,51,37,72,87,37,65
57,50,39,56,108,42,89
59,49,40,55,132,36,61
59,51,43,63,122,36,52
62,54,43,66,122,39,61
61,53,44,61,122,37,73
63,51,47,53,108,32,46
64,48,50,45,122,32,20
59,47,47,40,84,26,21
54,47,44,40,56,27,15
55,48,51,58,64,34,32
56,48,50,55,66,38,42
60,48,49,63,79,44,43
58,48,47,68,82,48,42
61,48,45,83,81,45,79
60,48,45,80,96,57,111
60,45,45,73,103,54,88
59,46,45,69,122,51,95
60,42,46,60,132,43,91
57,43,46,54,134,36,65
49,44,41,53,114,33,89
50,46,37,52,147,43,180
53,47,33,53,156,45,139
54,44,34,52,126,31,61
53,46,34,48,92,27,34
53,42,34,58,65,24,35
56,42,37,60,97,35,82
55,42,42,51,115,44,89
53,42,44,46,144,32,43
57,40,44,46,133,22,40
57,41,43,52,113,21,47
52,41,42,43,85,17,21
56,41,43,55,95,29,24
56,37,45,49,106,21,26
54,37,46,48,108,33,54
53,36,47,62,108,41,85
51,39,45,65,106,46,97
50,36,46,70,163,56,213
47,36,45,62,233,64,317
43,35,48,48,192,42,146
41,34,39,48,122,20,26
35,34,30,44,88,23,52
38,35,28,57,95,28,103
39,34,24,47,109,30,116
40,32,22,40,110,25,110
35,36,27,33,99,31,73
32,39,29,31,82,32,62
37,41,36,30,112,34,81
40,40,39,40,138,41,107
44,44,39,50,128,35,95
44,43,39,47,94,41,106
47,43,34,45,84,28,87
45,43,27,46,72,21,76
45,43,26,53,47,20,54
47,44,23,41,39,15,24
46,46,25,36,45,17,24
47,46,26,45,42,17,27
51,47,30,40,62,21,31
49,50,33,40,72,27,45
49,51,36,43,84,37,48
59,53,41,59,171,31,59
61,55,46,64,223,33,96
63,53,51,68,256,29,120
65,53,55,81,239,39,133
69,54,55,78,231,40,166
74,53,54,65,248,50,119
76,55,58,64,265,56,142
71,50,58,59,240,52,156
64,48,60,53,173,58,146
59,46,55,50,111,57,81
57,46,46,61,99,38,73
54,46,41,56,87,34,56
50,45,39,52,88,28,37
50,44,40,51,72,24,32
47,41,37,43,69,29,45
44,41,34,42,68,33,47
47,40,33,39,69,34,44
44,38,32,37,82,26,33
44,37,32,28,83,13,16
43,38,28,29,78,26,40
42,41,26,43,72,32,72
42,41,26,47,69,27,68
43,41,28,41,61,24,52
44,43,30,44,57,19,41
44,43,28,46,59,26,36
47,44,31,46,74,32,43
50,46,33,63,97,35,70
50,46,35,75,116,45,119
49,46,35,79,150,56,229
53,48,36,80,166,54,251
59,51,36,73,165,40,146
62,48,39,66,155,33,90
65,49,44,76,190,48,149
68,52,46,106,214,61,323
71,51,45,116,196,80,288
68,52,53,115,197,98,316
69,54,54,107,189,93,261
69,53,51,91,165,83,249
68,52,51,73,178,85,226
69,52,50,86,177,70,216
68,51,47,77,171,62,147
70,53,49,89,184,76,185
66,53,52,87,209,82,259
64,53,49,73,189,66,183
66,51,48,58,210,50,150
66,51,47,64,205,47,87
67,50,47,78,191,45,135
66,52,47,92,202,55,172
65,56,47,93,210,68,253
67,55,46,74,226,70,198
67,51,47,68,227,55,172
70,54,51,68,234,59,150
72,53,54,78,218,54,144
77,54,59,91,201,64,141
80,54,60,115,196,67,179
81,51,60,119,195,77,223
81,50,61,112,199,74,197
80,52,62,123,224,75,227
78,53,61,103,241,73,242
78,51,61,106,216,72,196
80,48,61,96,199,70,140
75,48,61,80,218,75,164
73,48,60,77,241,64,136
71,47,59,69,212,52,110
70,45,59,76,171,47,84
69,46,58,78,144,38,59
68,46,58,63,138,49,73
66,46,59,56,156,43,65
67,46,58,46,158,41,40
71,48,58,54,146,49,38
71,47,59,76,133,51,60
70,47,58,84,144,50,113
70,47,60,82,146,59,110
64,48,59,77,158,53,103
60,48,58,72,150,54,95
60,47,55,65,150,55,106
57,50,55,73,142,56,138
59,50,51,85,159,56,161
57,47,48,60,134,55,112
59,47,42,59,120,31,62
60,47,37,56,123,20,50
59,49,35,57,104,34,49
61,48,34,65,86,46,71
61,46,35,67,94,49,123
61,46,35,64,84,38,72
56,46,37,52,106,32,68
53,45,39,52,114,35,81
56,41,39,47,100,21,39
56,40,39,41,92,22,40
51,42,42,32,76,24,40
50,42,39,36,78,24,43
52,43,38,49,73,23,49
53,42,38,60,78,31,66
49,42,40,59,89,38,94
52,41,42,53,96,49,93
50,42,38,58,101,45,84
49,46,41,60,100,58,120
49,44,39,68,125,57,157
55,42,41,71,148,47,156
56,41,39,78,151,50,193
53,39,37,56,164,46,192
52,42,36,45,163,35,144
48,42,36,43,146,24,109
46,40,34,43,111,14,28
42,38,31,48,56,8,16
42,39,32,57,35,19,32
44,41,33,41,49,33,34
45,43,32,35,70,26,28
47,44,34,36,92,22,41
43,41,32,35,69,20,42
45,43,32,44,65,28,41
45,43,36,41,75,34,75
41,42,36,30,76,25,31
40,43,35,26,82,23,27
41,41,35,34,66,23,27
42,40,32,40,45,26,45
43,42,32,55,61,38,70
45,44,32,48,77,35,54
45,44,31,43,79,41,80
43,43,30,42,57,26,51
42,43,25,45,51,29,59
42,43,24,47,46,38,64
43,46,24,44,49,35,65
42,46,25,33,55,37,55
43,44,26,40,45,20,37
44,40,27,43,43,21,28
47,41,31,51,39,25,32
44,43,31,48,44,20,31
47,44,33,58,74,26,73
