"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
58,44,49,32,44,31,16
58,41,52,42,48,30,12
56,41,48,48,49,33,18
53,41,43,56,55,36,50
53,41,38,56,53,32,39
51,40,35,46,56,21,23
54,42,40,55,59,20,21
51,42,47,49,60,34,35
52,40,52,58,87,43,79
58,40,52,61,112,41,91
54,39,55,59,109,47,102
52,42,52,51,116,45,104
54,40,51,42,106,46,72
49,41,47,34,91,51,69
53,42,49,38,100,47,67
52,41,51,34,132,47,43
50,41,48,40,117,35,40
52,45,48,49,105,28,38
51,46,51,52,93,36,48
53,51,55,44,94,48,48
56,53,57,56,85,50,47
61,52,61,76,88,55,66
63,53,62,77,99,59,87
64,53,63,83,147,72,141
63,52,63,79,154,66,135
60,46,62,72,155,62,108
58,47,62,74,142,65,140
60,44,56,75,137,58,132
58,44,59,59,138,60,96
57,47,60,61,145,56,92
52,45,61,61,149,55,122
54,46,65,68,140,41,89
55,42,65,74,138,45,97
55,40,62,70,145,63,171
50,40,61,64,146,78,195
45,39,58,64,162,76,264
44,40,55,62,177,79,325
44,41,53,53,211,42,124
43,40,51,51,213,35,133
39,39,51,37,153,31,123
38,40,47,32,100,31,52
38,41,48,41,68,33,42
39,44,45,45,65,36,42
39,44,48,59,90,49,93
44,45,49,59,126,46,101
45,45,52,45,147,46,79
45,43,50,38,130,53,76
44,44,51,35,116,43,55
48,43,51,33,102,39,46
48,46,52,31,89,39,46
50,48,52,48,103,41,72
52,50,54,42,103,45,62
56,50,54,39,99,52,49
57,49,56,53,105,52,60
58,49,61,61,112,58,87
60,48,61,54,93,57,73
60,50,63,49,104,57,64
58,48,61,50,112,56,66
63,50,62,63,169,56,126
61,49,65,52,210,54,83
56,46,66,43,201,43,62
55,44,66,41,153,41,48
58,43,66,49,115,36,39
59,41,63,52,96,40,49
59,42,58,52,79,49,47
52,40,52,45,77,51,52
49,40,49,43,78,53,60
45,42,48,37,87,47,45
45,43,45,34,79,47,41
45,41,45,33,69,35,20
46,42,44,33,70,37,23
47,43,43,41,72,39,41
50,45,41,53,74,39,47
52,45,46,47,113,29,49
52,44,54,50,190,36,76
52,45,56,57,189,41,88
51,46,55,68,204,47,110
52,45,59,72,215,67,212
52,44,56,69,220,77,216
52,45,57,68,249,53,137
55,44,58,93,273,71,295
55,46,60,111,358,95,582
57,46,61,95,422,87,605
55,49,63,74,380,61,255
54,49,61,61,332,42,99
57,49,58,57,280,44,120
60,49,52,74,189,50,98
58,48,49,86,155,49,125
60,46,48,79,160,66,146
58,44,48,73,154,71,172
56,45,49,62,164,48,126
49,43,48,54,141,50,97
47,41,49,54,108,41,87
44,42,46,52,116,44,97
44,41,47,55,103,34,71
45,40,44,50,99,39,57
51,43,41,43,117,38,66
47,43,35,44,86,23,36
50,44,33,46,66,18,18
53,44,31,34,51,15,5
56,47,38,53,50,16,17
58,46,39,63,50,20,18
50,46,41,73,51,32,60
51,45,42,70,71,39,93
47,43,42,69,74,37,90
45,42,37,62,64,34,69
45,43,34,51,78,36,67
47,44,34,35,77,33,38
48,46,33,39,71,29,34
47,44,35,44,59,25,24
49,44,33,48,50,13,13
50,43,33,50,40,18,22
54,44,36,48,77,33,68
53,48,47,49,169,50,171
52,49,56,44,273,56,225
55,48,65,57,326,78,344
60,47,68,67,340,66,188
59,49,69,71,360,67,221
65,47,70,63,359,58,163
68,47,77,65,314,66,178
69,49,81,65,251,93,208
67,50,88,74,248,104,294
66,51,82,90,261,113,394
65,51,79,92,321,145,590
67,51,74,93,374,116,507
65,50,73,106,377,95,444
66,50,71,116,380,84,581
69,49,67,119,348,112,673
68,49,66,100,362,121,545
69,49,66,85,438,105,430
67,48,69,84,481,83,364
65,46,69,74,479,69,286
65,49,68,72,479,75,414
65,50,65,61,458,80,309
65,50,64,66,406,69,217
68,49,62,73,326,63,165
68,48,58,81,254,50,142
66,50,59,85,251,61,207
67,51,60,91,280,63,247
71,50,67,79,266,57,162
73,51,69,86,233,67,172
73,53,74,102,219,72,176
76,53,77,110,211,78,189
72,53,76,101,177,74,184
72,50,74,95,162,65,155
72,50,72,87,173,60,117
71,48,67,63,152,48,54
72,50,66,57,173,39,54
70,49,64,60,143,30,32
68,49,62,69,106,30,43
68,49,59,81,100,41,55
67,48,60,76,120,62,71
64,43,63,63,139,68,100
66,42,62,71,177,64,153
65,45,60,73,203,63,185
64,42,63,72,225,63,217
63,43,68,75,238,63,171
64,43,65,63,253,74,133
64,41,66,68,265,67,200
64,42,66,63,270,56,165
62,41,62,58,260,43,101
58,39,61,48,216,43,88
58,39,58,40,174,32,55
55,39,56,46,159,42,100
54,41,56,39,164,48,117
54,45,54,45,174,42,93
56,45,53,51,178,49,118
58,45,55,47,177,59,127
58,45,56,44,178,52,134
60,45,56,50,190,47,91
61,43,58,59,192,53,138
59,41,60,53,176,47,118
59,39,56,54,205,47,103
56,39,55,65,199,50,150
52,43,55,64,168,53,155
55,41,54,49,158,45,123
54,40,59,49,145,49,137
54,41,57,52,151,43,151
56,43,58,53,131,45,103
53,45,57,58,124,41,62
55,42,57,69,140,47,80
57,42,53,59,182,49,61
57,41,55,57,206,44,69
59,42,58,65,211,46,100
58,43,58,53,230,46,89
63,45,59,84,236,51,183
65,49,62,101,216,81,313
67,51,65,100,196,92,271
67,50,67,87,194,80,164
70,52,68,79,205,64,103
69,52,69,78,209,67,122
70,52,67,77,221,67,134
71,53,67,81,224,74,141
71,53,67,80,202,69,125
74,50,68,92,191,62,117
77,49,75,100,223,67,140
77,48,74,105,255,76,264
77,45,77,100,291,74,315
80,40,79,82,299,71,237
76,40,77,63,259,62,136
