"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
54,54,39,61,39,31,24
52,55,41,60,37,40,33
49,55,41,70,34,45,34
49,52,42,82,47,42,48
47,53,41,79,56,38,64
44,56,42,71,46,42,42
45,56,41,69,46,52,52
48,52,44,61,70,48,55
46,52,45,57,68,44,62
47,52,42,60,67,37,53
49,49,41,40,66,35,30
46,49,39,37,54,35,38
47,50,39,49,49,35,37
48,51,42,48,42,35,33
50,52,40,53,45,32,25
51,55,40,57,56,41,47
49,54,39,64,74,45,84
44,53,38,53,82,43,87
41,51,39,48,69,35,54
35,51,39,38,44,33,28
36,52,38,47,46,37,54
39,53,40,51,52,37,58
42,55,37,54,61,41,76
45,58,38,62,79,45,100
45,54,42,64,105,62,159
48,52,46,77,119,74,206
54,55,51,83,148,77,231
53,54,60,88,200,88,287
52,56,62,87,200,78,248
53,54,61,60,211,56,64
55,52,57,58,228,42,45
55,53,60,54,204,30,37
54,52,58,65,167,48,135
56,52,57,79,221,73,287
56,52,57,72,245,73,353
56,53,59,55,185,73,224
56,56,61,51,155,56,111
57,59,58,48,127,52,77
49,55,51,42,79,52,59
51,58,48,51,74,56,61
48,58,47,59,69,40,36
50,56,44,58,63,28,40
49,55,42,54,77,39,57
48,54,41,49,102,47,75
49,53,41,63,101,42,96
51,53,41,50,82,44,87
50,53,41,41,79,35,27
50,56,40,50,66,20,11
50,58,41,66,84,30,32
53,56,38,68,105,36,77
56,55,40,64,87,42,107
56,54,44,56,88,47,93
56,57,56,56,107,51,45
58,58,60,56,126,56,18
60,59,57,58,136,49,32
63,61,57,76,110,44,51
61,57,60,83,101,58,73
61,56,62,82,94,56,59
61,54,59,68,113,47,31
62,52,57,67,110,50,47
59,49,56,94,100,43,75
57,50,56,105,112,56,119
55,50,56,83,125,67,146
55,54,57,90,156,69,231
53,54,56,77,152,59,179
53,52,50,70,118,45,76
53,52,47,69,83,32,34
49,49,45,64,62,37,59
46,46,41,62,59,38,34
44,45,40,51,77,29,37
45,48,38,47,67,26,35
47,46,37,44,61,43,48
44,43,36,45,62,39,28
42,47,39,48,54,40,29
39,47,39,39,49,33,21
39,50,40,33,41,26,10
40,50,41,42,50,26,26
41,50,39,47,47,26,29
41,51,39,43,51,26,34
38,51,38,47,52,26,54
38,53,36,46,41,34,54
40,54,35,55,45,33,50
40,50,31,53,56,34,56
46,49,32,56,74,40,74
48,56,38,62,100,45,97
53,55,43,69,121,50,121
63,56,46,82,171,57,153
65,53,52,98,228,70,230
68,54,57,90,254,74,229
67,53,58,85,253,70,230
63,50,61,84,231,68,196
58,47,60,75,210,67,191
57,47,60,70,169,56,98
55,49,56,65,137,43,53
54,51,53,77,107,43,64
54,50,51,75,116,45,100
52,51,48,51,113,45,59
47,52,47,44,90,42,38
46,54,43,49,81,35,30
51,56,42,57,91,35,62
55,53,40,64,130,47,127
58,54,40,78,154,62,168
58,54,40,75,193,61,177
61,56,39,76,179,44,103
59,54,38,78,130,27,68
57,54,39,87,108,35,71
58,54,41,77,113,51,110
58,51,41,83,118,62,136
58,53,43,77,139,79,184
58,54,45,77,120,83,181
60,56,50,81,144,66,171
62,55,50,82,137,70,166
63,56,53,83,113,60,98
66,51,55,79,117,55,78
64,51,57,81,121,65,88
60,50,53,83,95,58,91
56,50,49,87,101,61,90
55,50,47,90,110,53,100
56,51,44,75,121,69,142
56,51,44,79,129,63,142
57,50,45,73,126,58,143
55,50,47,62,125,56,115
59,49,48,62,125,51,83
59,48,50,59,130,36,46
59,49,47,55,137,29,31
59,51,47,62,143,33,70
57,49,49,64,133,40,91
54,51,46,62,112,39,68
56,49,44,63,109,39,68
55,48,48,55,115,36,64
60,46,49,50,109,32,43
58,47,51,48,96,42,30
55,48,53,46,92,32,39
49,50,58,43,82,35,23
52,52,58,45,75,36,37
52,51,50,45,62,32,21
47,51,43,49,48,29,19
49,54,43,61,52,42,39
54,55,45,51,68,43,37
58,56,47,67,86,45,44
58,58,45,77,86,47,62
58,56,46,73,89,43,49
62,61,51,79,120,39,65
68,60,51,89,156,54,111
69,58,57,105,158,57,122
66,59,58,104,136,61,114
65,60,58,106,131,77,137
66,62,57,117,137,83,189
64,65,59,88,149,79,135
66,65,59,86,170,68,115
66,64,57,97,170,64,105
66,70,55,114,156,54,131
64,65,58,123,152,71,205
66,64,58,134,163,90,312
72,63,59,132,174,105,279
71,62,57,119,185,104,241
73,62,58,91,192,82,201
73,62,58,96,195,64,124
70,62,58,96,162,49,83
71,62,58,92,161,53,89
71,65,57,90,147,56,90
71,63,58,88,151,63,95
72,65,57,76,159,67,115
71,63,57,82,143,76,113
73,63,59,89,141,70,104
72,62,60,73,141,61,71
69,59,58,69,131,55,85
70,60,58,82,124,43,76
71,61,57,90,141,46,88
71,61,58,83,148,48,72
72,58,61,90,171,52,84
72,55,61,83,176,53,101
72,52,60,87,176,64,117
72,53,60,83,167,71,141
66,53,57,83,171,66,109
67,52,54,87,180,53,126
66,52,52,80,163,60,132
64,54,53,82,163,44,92
62,54,53,76,149,49,95
60,53,52,67,135,41,74
59,52,49,68,137,35,69
57,53,51,70,142,36,76
57,52,53,60,142,37,55
57,53,54,57,138,42,72
58,49,53,64,134,37,87
61,49,52,78,130,40,62
60,50,55,81,129,61,110
57,49,55,68,119,74,108
56,48,53,50,110,53,58
53,48,52,42,83,48,52
53,50,47,49,65,37,26
50,49,42,64,66,49,83
50,47,41,60,84,43,115
50,46,44,57,93,36,85
49,49,42,66,92,29,65
54,47,41,64,72,38,61
52,51,40,56,71,39,58
52,50,40,65,77,32,44
54,52,39,65,73,35,41
55,51,43,40,82,34,27
